LEVEL3_NAM,species,genus,family,order,Fleshy,Megafauna,L,A
,,,,,, ,,
Brazil West-Central,Duguetia megalocarpa,Duguetia,Annonaceae,Magnoliales,y,4,,
Brazil West-Central,Geissospermum sericeum,Geissospermum,Apocynaceae,Gentianales,y,4,,
Mexico Southeast,Capparidastrum quiriguense,Capparidastrum,Capparaceae,Brassicales,y,4,,
Brazil West-Central,Neocalyptrocalyx leprieurii,Neocalyptrocalyx,Capparaceae,Brassicales,y,4,,
Brazil West-Central,Hymenaea eriogyne,Hymenaea,Fabaceae,Fabales,y,4,,
Brazil West-Central,Hymenaea intermedia,Hymenaea,Fabaceae,Fabales,y,4,,
Brazil West-Central,Hymenaea reticulata,Hymenaea,Fabaceae,Fabales,y,4,,
Brazil West-Central,Pachira nitida,Pachira,Malvaceae,Malvales,y,4,,
Brazil West-Central,Naucleopsis jamariensis,Naucleopsis,Moraceae,Rosales,y,4,,
Brazil West-Central,Naucleopsis ternstroemiflora,Naucleopsis,Moraceae,Rosales,y,4,,
Brazil West-Central,Psidium hians,Psidium,Myrtaceae,Myrtales,y,4,,
Brazil West-Central,Priogymnanthus hasslerianus,Priogymnanthus,Oleaceae,Lamiales,y,4,,
Brazil South,Priogymnanthus hasslerianus,Priogymnanthus,Oleaceae,Lamiales,y,4,,
Mexico Southeast,Glossostipula strigosa,Glossostipula,Rubiaceae,Gentianales,n,4,,
Brazil West-Central,Pouteria mattogrossensis,Pouteria,Sapotaceae,Ericales,y,4,,
Brazil West-Central,Pouteria petiolata,Pouteria,Sapotaceae,Ericales,y,4,,
Brazil West-Central,Pouteria rodriguesiana,Pouteria,Sapotaceae,Ericales,y,4,,
Brazil West-Central,Pouteria undulatifolia,Pouteria,Sapotaceae,Ericales,y,4,,
Brazil West-Central,Simaba maiana,Simaba,Simaroubaceae,Sapindales,y,4,,
Brazil West-Central,Carpotroche longifolia,Carpotroche,Achariaceae,Malpighiales,y,3,4,4
Mexico Southeast,Crescentia linearifolia,Crescentia,Bignoniaceae,Lamiales,y,3,4,3
Mexico Southeast,Acanthocereus tetragonus,Acanthocereus,Cactaceae,Caryophyllales,y,3,7,5
Brazil West-Central,Brasiliopuntia brasiliensis,Brasiliopuntia,Cactaceae,Caryophyllales,y,3,4,4
Brazil South,Brasiliopuntia brasiliensis,Brasiliopuntia,Cactaceae,Caryophyllales,y,3,4,4
Brazil West-Central,Cereus bicolor,Cereus,Cactaceae,Caryophyllales,y,3,,
Brazil West-Central,Cereus hildmannianus,Cereus,Cactaceae,Caryophyllales,y,3,,
Brazil South,Cereus hildmannianus,Cereus,Cactaceae,Caryophyllales,y,3,,
Brazil West-Central,Cereus jamacaru,Cereus,Cactaceae,Caryophyllales,y,3,12,
Brazil West-Central,Cereus pierrebraunianus,Cereus,Cactaceae,Caryophyllales,y,3,,
Brazil West-Central,Cereus saddianus,Cereus,Cactaceae,Caryophyllales,y,3,,
Brazil West-Central,Cereus stenogonus,Cereus,Cactaceae,Caryophyllales,y,3,,
Brazil South,Cereus uruguayanus,Cereus,Cactaceae,Caryophyllales,y,3,,
Brazil West-Central,Monvillea euchlora,Monvillea,Cactaceae,Caryophyllales,y,3,,
Brazil South,Monvillea euchlora,Monvillea,Cactaceae,Caryophyllales,y,3,,
Brazil South,Opuntia monacantha,Opuntia,Cactaceae,Caryophyllales,y,3,5a 7,5
Mexico Southeast,Pachycereus pecten,Pachycereus,Cactaceae,Caryophyllales,y,3,4,
Brazil South,Pereskia grandifolia,Pereskia,Cactaceae,Caryophyllales,y,3,4,4
Brazil West-Central,Pereskia grandifolia,Pereskia,Cactaceae,Caryophyllales,y,3,4,
Brazil South,Pereskia nemorosa,Pereskia,Cactaceae,Caryophyllales,y,3,4,
Brazil West-Central,Pereskia sacharosa,Pereskia,Cactaceae,Caryophyllales,y,3,4,
Mexico Southeast,Pilosocereus collinsii,Pilosocereus,Cactaceae,Caryophyllales,y,3,,
Brazil West-Central,Pilosocereus jauruensis,Pilosocereus,Cactaceae,Caryophyllales,y,3,,
Brazil West-Central,Pilosocereus machrisii,Pilosocereus,Cactaceae,Caryophyllales,y,3,,
Mexico Southeast,Pilosocereus quadricentralis,Pilosocereus,Cactaceae,Caryophyllales,y,3,,
Brazil West-Central,Pilosocereus vilaboensis,Pilosocereus,Cactaceae,Caryophyllales,y,3,,
Mexico Southeast,Stenocereus eichlamii,Stenocereus,Cactaceae,Caryophyllales,y,3,,
Mexico Southeast,Stenocereus griseus,Stenocereus,Cactaceae,Caryophyllales,y,3,,
Mexico Southeast,Stenocereus laevigatus,Stenocereus,Cactaceae,Caryophyllales,y,3,,
Mexico Southeast,Stenocereus pruinosus,Stenocereus,Cactaceae,Caryophyllales,y,3,,
Brazil West-Central,Stetsonia coryne,Stetsonia,Cactaceae,Caryophyllales,y,3,,
Chile Central,Trichocereus chiloensis,Trichocereus,Cactaceae,Caryophyllales,y,3,,
Brazil South,Jacaratia heptaphylla,Jacaratia,Caricaceae,Brassicales,y,3,4,3
Brazil West-Central,Jacaratia heptaphylla,Jacaratia,Caricaceae,Brassicales,y,3,4,3
Brazil West-Central,Annona amambayensis,Annona,Annonaceae,Magnoliales,y,2,12,10
Brazil West-Central,Annona amazonica,Annona,Annonaceae,Magnoliales,y,2,5,5
Brazil West-Central,Annona aurantiaca,Annona,Annonaceae,Magnoliales,y,2,4,5
Brazil South,Annona cacans,Annona,Annonaceae,Magnoliales,y,2,12,10
Brazil West-Central,Annona cacans,Annona,Annonaceae,Magnoliales,y,2,12,10
Mexico Southeast,Annona cherimola,Annona,Annonaceae,Magnoliales,y,2,10,15
Brazil West-Central,Annona coriacea,Annona,Annonaceae,Magnoliales,y,2,>10,>10
Brazil South,Annona coriacea,Annona,Annonaceae,Magnoliales,y,2,>10,>10
Brazil West-Central,Annona crassiflora,Annona,Annonaceae,Magnoliales,y,2,14,15
Brazil South,Annona crassiflora,Annona,Annonaceae,Magnoliales,y,2,14,15
Brazil West-Central,Annona densicoma,Annona,Annonaceae,Magnoliales,y,2,,5.5
Brazil West-Central,Annona exsucca,Annona,Annonaceae,Magnoliales,y,2,4,4
Brazil South,Annona glabra,Annona,Annonaceae,Magnoliales,y,2,>8,>8
Mexico Southeast,Annona glabra,Annona,Annonaceae,Magnoliales,y,2,>8,>8
Brazil West-Central,Annona hypoglauca,Annona,Annonaceae,Magnoliales,y,2,7,4
Mexico Southeast,Annona liebmanniana,Annona,Annonaceae,Magnoliales,y,2,>8,>8
Mexico Southeast,Annona macroprophyllata,Annona,Annonaceae,Magnoliales,y,2,>10,>10
Brazil South,Annona montana,Annona,Annonaceae,Magnoliales,y,2,11,10
Brazil West-Central,Annona montana,Annona,Annonaceae,Magnoliales,y,2,11,10
Mexico Southeast,Annona mucosa,Annona,Annonaceae,Magnoliales,y,2,>10,>10
Brazil West-Central,Annona mucosa,Annona,Annonaceae,Magnoliales,y,2,>10,>10
Mexico Southeast,Annona muricata,Annona,Annonaceae,Magnoliales,y,2,16,10
Brazil West-Central,Annona neoinsignis,Annona,Annonaceae,Magnoliales,y,2,6,6
Brazil West-Central,Annona neosalicifolia,Annona,Annonaceae,Magnoliales,y,2,4,4
Brazil South,Annona neosalicifolia,Annona,Annonaceae,Magnoliales,y,2,4,4
Mexico Southeast,Annona purpurea,Annona,Annonaceae,Magnoliales,y,2,>10,>10
Brazil South,Annona rugulosa,Annona,Annonaceae,Magnoliales,y,2,7,7
Mexico Southeast,Annona scleroderma,Annona,Annonaceae,Magnoliales,y,2,>8,>8
Brazil West-Central,Annona spinescens,Annona,Annonaceae,Magnoliales,y,2,>7,>7
Mexico Southeast,Annona squamosa,Annona,Annonaceae,Magnoliales,y,2,5,5
Brazil West-Central,Duguetia lanceolata,Duguetia,Annonaceae,Magnoliales,y,2,5,5
Brazil South,Duguetia lanceolata,Duguetia,Annonaceae,Magnoliales,y,2,5,5
Brazil West-Central,Duguetia marcgraviana,Duguetia,Annonaceae,Magnoliales,y,2,>7,>7
Brazil West-Central,Duguetia spixiana,Duguetia,Annonaceae,Magnoliales,y,2,6,5
Brazil West-Central,Duguetia stelechantha,Duguetia,Annonaceae,Magnoliales,y,2,4,4
Brazil West-Central,Duguetia surinamensis,Duguetia,Annonaceae,Magnoliales,y,2,>7,>7
Brazil West-Central,Fusaea longifolia,Fusaea,Annonaceae,Magnoliales,y,2,5,5
Mexico Southeast,Tridimeris chiapensis,Tridimeris,Annonaceae,Magnoliales,y,2,8 a 11,3 a 5 
Brazil West-Central,Ambelania acida,Ambelania,Apocynaceae,Gentianales,y,2,10,5
Brazil West-Central,Ambelania duckei,Ambelania,Apocynaceae,Gentianales,y,2,4,4
Brazil West-Central,Macoubea guianensis,Macoubea,Apocynaceae,Gentianales,y,2,4,4
Brazil West-Central,Macoubea sprucei,Macoubea,Apocynaceae,Gentianales,y,2,5,5
Mexico Southeast,Amphitecna apiculata,Amphitecna,Bignoniaceae,Lamiales,y,2,10,5
Mexico Southeast,Amphitecna breedlovei,Amphitecna,Bignoniaceae,Lamiales,y,2,,
Mexico Southeast,Amphitecna donnell,Amphitecna,Bignoniaceae,Lamiales,y,2,,
Mexico Southeast,Amphitecna latifolia,Amphitecna,Bignoniaceae,Lamiales,y,2,7,5
Mexico Southeast,Amphitecna macrophylla,Amphitecna,Bignoniaceae,Lamiales,y,2,,
Mexico Southeast,Amphitecna montana,Amphitecna,Bignoniaceae,Lamiales,y,2,10,8
Mexico Southeast,Amphitecna sessilifolia,Amphitecna,Bignoniaceae,Lamiales,y,2,8,5
Mexico Southeast,Amphitecna silvicola,Amphitecna,Bignoniaceae,Lamiales,y,2,,
Mexico Southeast,Amphitecna steyermarkii,Amphitecna,Bignoniaceae,Lamiales,y,2,25,8
Mexico Southeast,Amphitecna tuxtlensis,Amphitecna,Bignoniaceae,Lamiales,y,2,,
Mexico Southeast,Crescentia alata,Crescentia,Bignoniaceae,Lamiales,y,2,15,15
Mexico Southeast,Crescentia cujete,Crescentia,Bignoniaceae,Lamiales,y,2,22,17
Mexico Southeast,Parmentiera parviflora,Parmentiera,Bignoniaceae,Lamiales,y,2,,
Brazil West-Central,Capparidastrum coimbranum,Capparidastrum,Capparaceae,Brassicales,y,2,5,3
Mexico Southeast,Capparidastrum discolor,Capparidastrum,Capparaceae,Brassicales,y,2,>10,2
Brazil West-Central,Capparidastrum osmanthum,Capparidastrum,Capparaceae,Brassicales,y,2,6,3
Mexico Southeast,Capparidastrum pachaca,Capparidastrum,Capparaceae,Brassicales,y,2,3,4
Brazil West-Central,Crateva tapia,Crateva,Capparaceae,Brassicales,y,2,4,3
Mexico Southeast,Crateva tapia,Crateva,Capparaceae,Brassicales,y,2,4,3
Mexico Southeast,Morisonia americana,Morisonia,Capparaceae,Brassicales,y,2,>8,>8
Mexico Southeast,Carica papaya,Carica,Caricaceae,Brassicales,y,2,> 15,
Brazil West-Central,Jacaratia corumbensis,Jacaratia,Caricaceae,Brassicales,y,2,7,5
Brazil West-Central,Jacaratia digitata,Jacaratia,Caricaceae,Brassicales,y,2,10,5
Mexico Southeast,Jacaratia dolichaula,Jacaratia,Caricaceae,Brassicales,y,2,8,5
Mexico Southeast,Jacaratia mexicana,Jacaratia,Caricaceae,Brassicales,y,2,15,10
Brazil South,Jacaratia spinosa,Jacaratia,Caricaceae,Brassicales,y,2,10,5
Brazil West-Central,Jacaratia spinosa,Jacaratia,Caricaceae,Brassicales,y,2,10,5
Mexico Southeast,Vasconcellea cauliflora,Vasconcellea,Caricaceae,Brassicales,y,2,7,5
Mexico Southeast,Theobroma angustifolium,Theobroma,Malvaceae,Malvales,y,2,,
Mexico Southeast,Theobroma bicolor,Theobroma,Malvaceae,Malvales,y,2,,
Mexico Southeast,Theobroma cacao,Theobroma,Malvaceae,Malvales,y,2,,
Brazil West-Central,Theobroma cacao,Theobroma,Malvaceae,Malvales,y,2,,
Brazil West-Central,Theobroma grandiflorum,Theobroma,Malvaceae,Malvales,y,2,12,9
Brazil West-Central,Theobroma microcarpum,Theobroma,Malvaceae,Malvales,y,2,,
Brazil West-Central,Theobroma speciosum,Theobroma,Malvaceae,Malvales,y,2,10 1 12,
Brazil West-Central,Theobroma subincanum,Theobroma,Malvaceae,Malvales,y,2,7 a 12 ,
Brazil West-Central,Theobroma sylvestre,Theobroma,Malvaceae,Malvales,y,2,5 a 11,
Brazil South,Campomanesia reitziana,Campomanesia,Myrtaceae,Myrtales,y,2,3,3
Brazil South,Campomanesia schlechtendaliana,Campomanesia,Myrtaceae,Myrtales,y,2,3,3
Brazil West-Central,Lacunaria jenmanii,Lacunaria,Ochnaceae,Malpighiales,y,2,10,6.5
Brazil West-Central,Rosenbergiodendron longiflorum,Rosenbergiodendron,Rubiaceae,Gentianales,y,2,4,1
Brazil South,Rosenbergiodendron longiflorum,Rosenbergiodendron,Rubiaceae,Gentianales,y,2,4,1
Brazil West-Central,Tocoyena foetida,Tocoyena,Rubiaceae,Gentianales,y,2,5,5
Mexico Southeast,Laetia thamnia,Laetia,Salicaceae,Malpighiales,y,2,4,4
Brazil South,Brugmansia suaveolens,Brugmansia,Solanaceae,Solanales,y,2,8,5
Brazil South,Solanum melissarum,Solanum,Solanaceae,Solanales,y,2,4,3
Brazil West-Central,Solanum proteanthum,Solanum,Solanaceae,Solanales,y,2,3,2
Brazil West-Central,Leonia glycycarpa,Leonia,Violaceae,Malpighiales,y,2,4,4
Brazil West-Central,Anacardium giganteum,Anacardium,Anacardiaceae,Sapindales,y,1,,
Brazil West-Central,Anacardium occidentale,Anacardium,Anacardiaceae,Sapindales,y,1,,
Brazil West-Central,Antrocaryon amazonicum,Antrocaryon,Anacardiaceae,Sapindales,y,1,,
Brazil West-Central,Onychopetalum periquino,Onychopetalum,Annonaceae,Magnoliales,y,1,4.2,4.8
Mexico Southeast,Tabernaemontana arborea,Tabernaemontana,Apocynaceae,Gentianales,y,1,4,3.5
Mexico Southeast,Acrocomia aculeata,Acrocomia,Arecaceae,Arecales,y,1,4,5
Brazil West-Central,Acrocomia aculeata,Acrocomia,Arecaceae,Arecales,y,1,4,5
Brazil South,Acrocomia aculeata,Acrocomia,Arecaceae,Arecales,y,1,4,5
Brazil West-Central,Acrocomia glaucescens,Acrocomia,Arecaceae,Arecales,y,1,,
Brazil South,Astrocaryum aculeatissimum,Astrocaryum,Arecaceae,Arecales,y,1,4,4
Brazil West-Central,Astrocaryum aculeatum,Astrocaryum,Arecaceae,Arecales,y,1,3.6,4
Brazil West-Central,Astrocaryum huaimi,Astrocaryum,Arecaceae,Arecales,y,1,3,5
Brazil West-Central,Astrocaryum murumuru,Astrocaryum,Arecaceae,Arecales,y,1,5.7,3.2
Brazil West-Central,Astrocaryum vulgare,Astrocaryum,Arecaceae,Arecales,y,1,5,
Brazil West-Central,Attalea apoda,Attalea,Arecaceae,Arecales,y,1,>5,>5
Brazil West-Central,Attalea brasiliensis,Attalea,Arecaceae,Arecales,y,1,,
Brazil West-Central,Attalea butyracea,Attalea,Arecaceae,Arecales,y,1,,
Mexico Southeast,Attalea butyracea,Attalea,Arecaceae,Arecales,y,1,,
Mexico Southeast,Attalea cohune,Attalea,Arecaceae,Arecales,y,1,,
Brazil West-Central,Attalea huebneri,Attalea,Arecaceae,Arecales,y,1,,
Brazil West-Central,Attalea maripa,Attalea,Arecaceae,Arecales,y,1,,
Brazil West-Central,Attalea phalerata,Attalea,Arecaceae,Arecales,y,1,,
Brazil West-Central,Attalea speciosa,Attalea,Arecaceae,Arecales,y,1,9,4.5
Brazil West-Central,Bactris gasipaes,Bactris,Arecaceae,Arecales,y,1,5,4
Brazil West-Central,Bactris maraja,Bactris,Arecaceae,Arecales,y,1,>10,>10
Brazil South,Butia witeckii,Butia,Arecaceae,Arecales,y,1,4,4
Chile Central,Jubaea chilensis,Jubaea,Arecaceae,Arecales,y,1,3,3
Brazil West-Central,Lepidocaryum tenue,Lepidocaryum,Arecaceae,Arecales,y,1,3,6
Brazil West-Central,Mauritia flexuosa,Mauritia,Arecaceae,Arecales,y,1,4.5,4.5
Brazil West-Central,Syagrus cocoides,Syagrus,Arecaceae,Arecales,y,1,4.2,2.2
Brazil West-Central,Syagrus flexuosa,Syagrus,Arecaceae,Arecales,y,1,,
Brazil South,Syagrus oleracea,Syagrus,Arecaceae,Arecales,y,1,4,4
Brazil West-Central,Syagrus oleracea,Syagrus,Arecaceae,Arecales,y,1,4,4
Brazil South,Caryocar brasiliense,Caryocar,Caryocaraceae,Malpighiales,y,1,7,6
Brazil West-Central,Caryocar brasiliense,Caryocar,Caryocaraceae,Malpighiales,y,1,7,6
Brazil West-Central,Caryocar coriaceum,Caryocar,Caryocaraceae,Malpighiales,y,1,5,5
Brazil West-Central,Caryocar microcarpum,Caryocar,Caryocaraceae,Malpighiales,y,1,7.5,7.5
Brazil West-Central,Caryocar villosum,Caryocar,Caryocaraceae,Malpighiales,y,1,10,9
Brazil West-Central,Cheiloclinium cognatum,Cheiloclinium,Celastraceae,Celastrales,y,1,3,4
Mexico Southeast,Salacia cordata,Salacia,Celastraceae,Celastrales,y,1,6,8
Brazil West-Central,Salacia crassifolia,Salacia,Celastraceae,Celastrales,y,1,44,
Brazil West-Central,Salacia elliptica,Salacia,Celastraceae,Celastrales,y,1,3.5,3.5
Brazil South,Salacia elliptica,Salacia,Celastraceae,Celastrales,y,1,3.5,3.5
Brazil West-Central,Salacia impressifolia,Salacia,Celastraceae,Celastrales,y,1,4,5
Mexico Southeast,Salacia impressifolia,Salacia,Celastraceae,Celastrales,y,1,4,5
Brazil West-Central,Couepia bracteosa,Couepia,Chrysobalanaceae,Malpighiales,y,1,,4.5
Mexico Southeast,Licania platypus,Licania,Chrysobalanaceae,Malpighiales,y,1,>6,>6
Brazil South,Parinari excelsa,Parinari,Chrysobalanaceae,Malpighiales,y,1,3,3
Brazil West-Central,Parinari excelsa,Parinari,Chrysobalanaceae,Malpighiales,y,1,3,3
Brazil West-Central,Parinari obtusifolia,Parinari,Chrysobalanaceae,Malpighiales,y,1,4,3
Brazil West-Central,Garcinia macrophylla,Garcinia,Clusiaceae,Malpighiales,y,1,8,5
Brazil West-Central,Garcinia madruno,Garcinia,Clusiaceae,Malpighiales,y,1,6 a 7,6
Brazil West-Central,Diospyros coccolobifolia,Diospyros,Ebenaceae,Ericales,y,1,5,5
Mexico Southeast,Diospyros conzattii,Diospyros,Ebenaceae,Ericales,y,1,4,2
Mexico Southeast,Diospyros nigra,Diospyros,Ebenaceae,Ericales,y,1,4,4
Mexico Southeast,Andira galeottiana,Andira,Fabaceae,Fabales,y,1,6,5
Brazil West-Central,Dipteryx alata,Dipteryx,Fabaceae,Fabales,y,1,6.5,
Brazil West-Central,Dipteryx micrantha,Dipteryx,Fabaceae,Fabales,y,1,5,3
Brazil West-Central,Dipteryx odorata,Dipteryx,Fabaceae,Fabales,y,1,5,3
Chile Central,Geoffroea decorticans,Geoffroea,Fabaceae,Fabales,y,1,2,2
Brazil West-Central,Geoffroea spinosa,Geoffroea,Fabaceae,Fabales,y,1,2.5,2
Mexico Southeast,Hymenaea courbaril,Hymenaea,Fabaceae,Fabales,y,1,12,4
Brazil West-Central,Hymenaea courbaril,Hymenaea,Fabaceae,Fabales,y,1,12,4
Brazil South,Hymenaea courbaril,Hymenaea,Fabaceae,Fabales,y,1,12,4
Brazil West-Central,Hymenaea martiana,Hymenaea,Fabaceae,Fabales,y,1,12,4
Brazil West-Central,Hymenaea stigonocarpa,Hymenaea,Fabaceae,Fabales,y,1,12,2.5
Mexico Southeast,Inga acrocephala,Inga,Fabaceae,Fabales,y,1,>10,2
Mexico Southeast,Inga acuminata,Inga,Fabaceae,Fabales,y,1,>10,2
Brazil West-Central,Inga alata,Inga,Fabaceae,Fabales,y,1,>10,2.5
Brazil West-Central,Inga alba,Inga,Fabaceae,Fabales,y,1,16,2
Brazil West-Central,Inga brachystachys,Inga,Fabaceae,Fabales,y,1,,
Brazil West-Central,Inga brevipes,Inga,Fabaceae,Fabales,y,1,10,3
Mexico Southeast,Inga cabrerae,Inga,Fabaceae,Fabales,y,1,,
Mexico Southeast,Inga calderonii,Inga,Fabaceae,Fabales,y,1,5,3.5
Brazil West-Central,Inga capitata,Inga,Fabaceae,Fabales,y,1,10,3
Brazil West-Central,Inga cayennensis,Inga,Fabaceae,Fabales,y,1,10 a 15,2
Brazil West-Central,Inga chartacea,Inga,Fabaceae,Fabales,y,1,15,3
Mexico Southeast,Inga chiapensis,Inga,Fabaceae,Fabales,y,1,,
Brazil West-Central,Inga cordatoalata,Inga,Fabaceae,Fabales,y,1,5 a 25,2
Brazil West-Central,Inga cylindrica,Inga,Fabaceae,Fabales,y,1,10.5,1.5
Mexico Southeast,Inga dasycarpa,Inga,Fabaceae,Fabales,y,1,,
Mexico Southeast,Inga densiflora,Inga,Fabaceae,Fabales,y,1,10,4
Brazil West-Central,Inga disticha,Inga,Fabaceae,Fabales,y,1,15,2.5
Brazil West-Central,Inga fastuosa,Inga,Fabaceae,Fabales,y,1,<20,4
Brazil West-Central,Inga flagelliformis,Inga,Fabaceae,Fabales,y,1,>10,5
Mexico Southeast,Inga flexuosa,Inga,Fabaceae,Fabales,y,1,,
Brazil West-Central,Inga grandiflora,Inga,Fabaceae,Fabales,y,1,10 a 12,3
Brazil West-Central,Inga heterophylla,Inga,Fabaceae,Fabales,y,1,8,1.5
Brazil West-Central,Inga huberi,Inga,Fabaceae,Fabales,y,1,,
Brazil West-Central,Inga ingoides,Inga,Fabaceae,Fabales,y,1,15,2.5
Mexico Southeast,Inga inicuil,Inga,Fabaceae,Fabales,y,1,15,3
Brazil West-Central,Inga lateriflora,Inga,Fabaceae,Fabales,y,1,10 a 15,2
Mexico Southeast,Inga latibracteata,Inga,Fabaceae,Fabales,y,1,,
Brazil South,Inga laurina,Inga,Fabaceae,Fabales,y,1,15,2
Brazil West-Central,Inga laurina,Inga,Fabaceae,Fabales,y,1,15,2
Mexico Southeast,Inga laurina,Inga,Fabaceae,Fabales,y,1,15,2
Brazil West-Central,Inga leiocalycina,Inga,Fabaceae,Fabales,y,1,15 a 20,2
Brazil South,Inga lentiscifolia,Inga,Fabaceae,Fabales,y,1,,
Brazil West-Central,Inga longiflora,Inga,Fabaceae,Fabales,y,1,,
Brazil West-Central,Inga macrophylla,Inga,Fabaceae,Fabales,y,1,37.5,7.5
Brazil West-Central,Inga marginata,Inga,Fabaceae,Fabales,y,1,10.5,1.5
Brazil South,Inga marginata,Inga,Fabaceae,Fabales,y,1,10.5,1.5
Mexico Southeast,Inga marginata,Inga,Fabaceae,Fabales,y,1,10.5,1.5
Brazil West-Central,Inga melinonis,Inga,Fabaceae,Fabales,y,1,>10,2
Mexico Southeast,Inga mexicana,Inga,Fabaceae,Fabales,y,1,10 a 15,1.5 a 2
Mexico Southeast,Inga micheliana,Inga,Fabaceae,Fabales,y,1,>10,4
Mexico Southeast,Inga multijuga,Inga,Fabaceae,Fabales,y,1,>15,4
Mexico Southeast,Inga nobilis,Inga,Fabaceae,Fabales,y,1,5 a 17,1.5 a 3
Brazil West-Central,Inga nobilis,Inga,Fabaceae,Fabales,y,1,5 a 17,1.5 a 3
Brazil West-Central,Inga obidensis,Inga,Fabaceae,Fabales,y,1,>10,2.5
Mexico Southeast,Inga oerstediana,Inga,Fabaceae,Fabales,y,1,20,2
Brazil West-Central,Inga paraensis,Inga,Fabaceae,Fabales,y,1,7 a 20,2 a 3
Mexico Southeast,Inga paterno,Inga,Fabaceae,Fabales,y,1,9 a 12,4 a 5
Mexico Southeast,Inga pezizifera,Inga,Fabaceae,Fabales,y,1,10 a 18,4
Brazil West-Central,Inga pezizifera,Inga,Fabaceae,Fabales,y,1,10 a 18,4
Brazil West-Central,Inga pilosula,Inga,Fabaceae,Fabales,y,1,12,4
Mexico Southeast,Inga pinetorum,Inga,Fabaceae,Fabales,y,1,,
Mexico Southeast,Inga punctata,Inga,Fabaceae,Fabales,y,1,6 a 12,3
Brazil West-Central,Inga punctata,Inga,Fabaceae,Fabales,y,1,6 a 12,3
Brazil West-Central,Inga rubiginosa,Inga,Fabaceae,Fabales,y,1,>20,3
Brazil West-Central,Inga ruiziana,Inga,Fabaceae,Fabales,y,1,10,2.5
Mexico Southeast,Inga sapindoides,Inga,Fabaceae,Fabales,y,1,17,3
Brazil South,Inga sellowiana,Inga,Fabaceae,Fabales,y,1,,
Brazil West-Central,Inga sertulifera,Inga,Fabaceae,Fabales,y,1,7a 13,2.5
Brazil South,Inga sessilis,Inga,Fabaceae,Fabales,y,1,10,2
Brazil West-Central,Inga splendens,Inga,Fabaceae,Fabales,y,1,15,2.5
Brazil West-Central,Inga stenopoda,Inga,Fabaceae,Fabales,y,1,10,2
Brazil West-Central,Inga striata,Inga,Fabaceae,Fabales,y,1,17,2.5
Brazil South,Inga striata,Inga,Fabaceae,Fabales,y,1,17,2.5
Brazil West-Central,Inga striolata,Inga,Fabaceae,Fabales,y,1,,
Brazil South,Inga subnuda,Inga,Fabaceae,Fabales,y,1,20,2.5
Mexico Southeast,Inga thibaudiana,Inga,Fabaceae,Fabales,y,1,12.8,2
Brazil West-Central,Inga thibaudiana,Inga,Fabaceae,Fabales,y,1,12.8,2
Brazil West-Central,Inga umbellifera,Inga,Fabaceae,Fabales,y,1,6,2
Brazil West-Central,Inga umbratica,Inga,Fabaceae,Fabales,y,1,15,2.5
Brazil West-Central,Inga velutina,Inga,Fabaceae,Fabales,y,1,21.6,4
Mexico Southeast,Inga vera,Inga,Fabaceae,Fabales,y,1,20,2
Brazil West-Central,Inga vera,Inga,Fabaceae,Fabales,y,1,20,2
Brazil South,Inga vera,Inga,Fabaceae,Fabales,y,1,20,2
Brazil South,Inga virescens,Inga,Fabaceae,Fabales,y,1,10,2
Brazil South,Inga vulpina,Inga,Fabaceae,Fabales,y,1,3 a 6,2.5
Mexico Southeast,Inga xalapensis,Inga,Fabaceae,Fabales,y,1,8 a 18,3.5
Brazil South,Inga ynga,Inga,Fabaceae,Fabales,y,1,7.5,3.5
Brazil West-Central,Inga ynga,Inga,Fabaceae,Fabales,y,1,7.5,3.5
Mexico Southeast,Inga ynga,Inga,Fabaceae,Fabales,y,1,7.5,3.5
Brazil South,Swartzia oblata,Swartzia,Fabaceae,Fabales,y,1,11,5
Brazil West-Central,Swartzia parvipetala,Swartzia,Fabaceae,Fabales,y,1,,
Brazil West-Central,Swartzia recurva,Swartzia,Fabaceae,Fabales,y,1,4,4
Chile Central,Gomortega keule,Gomortega,Gomortegaceae,Laurales,y,1,3 a 6,3 a 6
Brazil West-Central,Endopleura uchi,Endopleura,Humiriaceae,Malpighiales,y,1,4 a 6,4
Mexico Southeast,Calatola costaricensis,Calatola,Icacinaceae,Icacinales,y,1,5,4
Mexico Southeast,Calatola laevigata,Calatola,Icacinaceae,Icacinales,y,1,6,5
Mexico Southeast,Calatola mollis,Calatola,Icacinaceae,Icacinales,y,1,4,4
Mexico Southeast,Beilschmiedia anay,Beilschmiedia,Lauraceae,Laurales,y,1,10,5
Chile Central,Beilschmiedia miersii,Beilschmiedia,Lauraceae,Laurales,y,1,4,3
Mexico Southeast,Persea schiedeana,Persea,Lauraceae,Laurales,y,1,4,10
Brazil West-Central,Herrania mariae,Herrania,Malvaceae,Malvales,y,1,5,10
Mexico Southeast,Pachira aquatica,Pachira,Malvaceae,Malvales,y,1,>7,>7
Brazil South,Pachira glabra,Pachira,Malvaceae,Malvales,y,1,,
Brazil West-Central,Pachira glabra,Pachira,Malvaceae,Malvales,y,1,,
Brazil West-Central,Pachira paraensis,Pachira,Malvaceae,Malvales,y,1,5,3
Mexico Southeast,Bellucia pentamera,Bellucia,Melastomataceae,Myrtales,y,1,,
Brazil West-Central,Mouriri elliptica,Mouriri,Melastomataceae,Myrtales,y,1,3,4
