,code,LEVEL3_NAM,species,genus,family,order
886,2392,Brazil South,Avicennia schaueriana,Avicennia,Acanthaceae,Lamiales
61,3218,Brazil South,Achatocarpus praecox,Achatocarpus,Achatocarpaceae,Caryophyllales
9442,2876,Brazil South,Sambucus australis,Sambucus,Adoxaceae,Dipsacales
819,2153,Brazil South,Astronium fraxinifolium,Astronium,Anacardiaceae,Sapindales
824,2449,Brazil South,Astronium graveolens,Astronium,Anacardiaceae,Sapindales
6010,3033,Brazil South,Lithrea brasiliensis,Lithrea,Anacardiaceae,Sapindales
6012,3113,Brazil South,Lithrea molleoides,Lithrea,Anacardiaceae,Sapindales
6941,3405,Brazil South,Myracrodruon balansae,Myracrodruon,Anacardiaceae,Sapindales
9580,6007,Brazil South,Schinus longifolius,Schinus,Anacardiaceae,Sapindales
9583,2270,Brazil South,Schinus terebinthifolius,Schinus,Anacardiaceae,Sapindales
9584,3400,Brazil South,Schinus ferox,Schinus,Anacardiaceae,Sapindales
9588,2921,Brazil South,Schinus engleri,Schinus,Anacardiaceae,Sapindales
9590,3409,Brazil South,Schinus areira,Schinus,Anacardiaceae,Sapindales
9591,3410,Brazil South,Schinus molle,Schinus,Anacardiaceae,Sapindales
9594,3209,Brazil South,Schinus lentiscifolius,Schinus,Anacardiaceae,Sapindales
10460,2274,Brazil South,Tapirira guianensis,Tapirira,Anacardiaceae,Sapindales
489,2746,Brazil South,Annona cacans,Annona,Annonaceae,Magnoliales
501,2747,Brazil South,Annona rugulosa,Annona,Annonaceae,Magnoliales
505,2407,Brazil South,Annona dolabripetala,Annona,Annonaceae,Magnoliales
509,2748,Brazil South,Annona sylvatica,Annona,Annonaceae,Magnoliales
513,4112,Brazil South,Annona crassiflora,Annona,Annonaceae,Magnoliales
525,2711,Brazil South,Annona emarginata,Annona,Annonaceae,Magnoliales
529,3219,Brazil South,Annona montana,Annona,Annonaceae,Magnoliales
537,2152,Brazil South,Annona neosalicifolia,Annona,Annonaceae,Magnoliales
539,2283,Brazil South,Annona glabra,Annona,Annonaceae,Magnoliales
555,3376,Brazil South,Annona maritima,Annona,Annonaceae,Magnoliales
565,2444,Brazil South,Annona neosericea,Annona,Annonaceae,Magnoliales
573,4129,Brazil South,Annona coriacea,Annona,Annonaceae,Magnoliales
1182,3242,Brazil South,Bocageopsis mattogrossensis,Bocageopsis,Annonaceae,Magnoliales
3377,2494,Brazil South,Duguetia lanceolata,Duguetia,Annonaceae,Magnoliales
4876,2217,Brazil South,Guatteria australis,Guatteria,Annonaceae,Magnoliales
8408,2605,Brazil South,Porcelia macrocarpa,Porcelia,Annonaceae,Magnoliales
10907,2187,Brazil South,Unonopsis guatterioides,Unonopsis,Annonaceae,Magnoliales
11239,3201,Brazil South,Xylopia sericea,Xylopia,Annonaceae,Magnoliales
11245,3293,Brazil South,Xylopia aromatica,Xylopia,Annonaceae,Magnoliales
11247,2434,Brazil South,Xylopia brasiliensis,Xylopia,Annonaceae,Magnoliales
11273,2435,Brazil South,Xylopia langsdorfiana,Xylopia,Annonaceae,Magnoliales
721,2750,Brazil South,Aspidosperma parvifolium,Aspidosperma,Apocynaceae,Gentianales
723,2712,Brazil South,Aspidosperma australe,Aspidosperma,Apocynaceae,Gentianales
727,4113,Brazil South,Aspidosperma tomentosum,Aspidosperma,Apocynaceae,Gentianales
729,3267,Brazil South,Aspidosperma cylindrocarpon,Aspidosperma,Apocynaceae,Gentianales
751,2447,Brazil South,Aspidosperma olivaceum,Aspidosperma,Apocynaceae,Gentianales
761,3189,Brazil South,Aspidosperma polyneuron,Aspidosperma,Apocynaceae,Gentianales
763,2331,Brazil South,Aspidosperma pyricollum,Aspidosperma,Apocynaceae,Gentianales
773,3361,Brazil South,Aspidosperma riedelii,Aspidosperma,Apocynaceae,Gentianales
775,2446,Brazil South,Aspidosperma camporum,Aspidosperma,Apocynaceae,Gentianales
779,6004,Brazil South,Aspidosperma quebracho,Aspidosperma,Apocynaceae,Gentianales
783,3303,Brazil South,Aspidosperma subincanum,Aspidosperma,Apocynaceae,Gentianales
791,2923,Brazil South,Aspidosperma ramiflorum,Aspidosperma,Apocynaceae,Gentianales
6277,2545,Brazil South,Malouetia cestroides,Malouetia,Apocynaceae,Gentianales
9179,3118,Brazil South,Rauvolfia sellowii,Rauvolfia,Apocynaceae,Gentianales
10394,2739,Brazil South,Tabernaemontana hystrix,Tabernaemontana,Apocynaceae,Gentianales
10402,2326,Brazil South,Tabernaemontana catharinensis,Tabernaemontana,Apocynaceae,Gentianales
5316,2530,Brazil South,Ilex brevicuspis,Ilex,Aquifoliaceae,Aquifoliales
5318,2222,Brazil South,Ilex pseudobuxus,Ilex,Aquifoliaceae,Aquifoliales
5320,2223,Brazil South,Ilex theezans,Ilex,Aquifoliaceae,Aquifoliales
5322,2221,Brazil South,Ilex integerrima,Ilex,Aquifoliaceae,Aquifoliales
5334,2891,Brazil South,Ilex taubertiana,Ilex,Aquifoliaceae,Aquifoliales
5342,2220,Brazil South,Ilex dumosa,Ilex,Aquifoliaceae,Aquifoliales
5350,2890,Brazil South,Ilex microdonta,Ilex,Aquifoliaceae,Aquifoliales
5352,3112,Brazil South,Ilex brasiliensis,Ilex,Aquifoliaceae,Aquifoliales
5354,2723,Brazil South,Ilex paraguariensis,Ilex,Aquifoliaceae,Aquifoliales
5356,3301,Brazil South,Ilex affinis,Ilex,Aquifoliaceae,Aquifoliales
654,3220,Brazil South,Aralia warmingiana,Aralia,Araliaceae,Apiales
3058,2396,Brazil South,Dendropanax australis,Dendropanax,Araliaceae,Apiales
3064,2493,Brazil South,Dendropanax cuneatus,Dendropanax,Araliaceae,Apiales
7640,2256,Brazil South,Oreopanax capitatus,Oreopanax,Araliaceae,Apiales
7642,3036,Brazil South,Oreopanax fulvus,Oreopanax,Araliaceae,Apiales
9543,3194,Brazil South,Schefflera vinosa,Schefflera,Araliaceae,Apiales
9549,2183,Brazil South,Schefflera morototoni,Schefflera,Araliaceae,Apiales
9561,2382,Brazil South,Schefflera angustissima,Schefflera,Araliaceae,Apiales
9570,2703,Brazil South,Schefflera calva,Schefflera,Araliaceae,Apiales
82,3264,Brazil South,Acrocomia aculeata,Acrocomia,Arecaceae,Arecales
808,2448,Brazil South,Astrocaryum aculeatissimum,Astrocaryum,Arecaceae,Arecales
857,2284,Brazil South,Attalea dubia,Attalea,Arecaceae,Arecales
936,2199,Brazil South,Bactris setosa,Bactris,Arecaceae,Arecales
937,2450,Brazil South,Bactris hatschbachii,Bactris,Arecaceae,Arecales
1394,3380,Brazil South,Butia odorata,Butia,Arecaceae,Arecales
1395,3322,Brazil South,Butia paraguayensis,Butia,Arecaceae,Arecales
1396,3151,Brazil South,Butia eriospatha,Butia,Arecaceae,Arecales
1397,3381,Brazil South,Butia catarinensis,Butia,Arecaceae,Arecales
1398,3413,Brazil South,Butia witeckii,Butia,Arecaceae,Arecales
1400,3406,Brazil South,Butia yatay,Butia,Arecaceae,Arecales
1402,3411,Brazil South,Butia missionera,Butia,Arecaceae,Arecales
4277,2360,Brazil South,Euterpe edulis,Euterpe,Arecaceae,Arecales
4693,2215,Brazil South,Geonoma schottiana,Geonoma,Arecaceae,Arecales
4695,2523,Brazil South,Geonoma pohliana,Geonoma,Arecaceae,Arecales
6147,2892,Brazil South,Lytocaryum hoehnei,Lytocaryum,Arecaceae,Arecales
10238,3290,Brazil South,Syagrus oleracea,Syagrus,Arecaceae,Arecales
10239,2323,Brazil South,Syagrus romanzoffiana,Syagrus,Arecaceae,Arecales
10866,2981,Brazil South,Trithrinax brasiliensis,Trithrinax,Arecaceae,Arecales
2533,3111,Brazil South,Cordyline spectabilis,Cordyline,Asparagaceae,Asparagales
876,3090,Brazil South,Austrocritonia velutina,Austrocritonia,Asteraceae,Asterales
880,2714,Brazil South,Austroeupatorium inulaefolium,Austroeupatorium,Asteraceae,Asterales
903,2883,Brazil South,Baccharis montana,Baccharis,Asteraceae,Asterales
904,3083,Brazil South,Baccharis glaziovii,Baccharis,Asteraceae,Asterales
905,2751,Brazil South,Baccharis microdonta,Baccharis,Asteraceae,Asterales
906,3161,Brazil South,Baccharis serrulata,Baccharis,Asteraceae,Asterales
907,2863,Brazil South,Baccharis oblongifolia,Baccharis,Asteraceae,Asterales
908,2936,Brazil South,Baccharis leucocephala,Baccharis,Asteraceae,Asterales
910,2333,Brazil South,Baccharis dracunculifolia,Baccharis,Asteraceae,Asterales
911,2660,Brazil South,Baccharis dentata,Baccharis,Asteraceae,Asterales
912,2752,Brazil South,Baccharis semiserrata,Baccharis,Asteraceae,Asterales
915,3391,Brazil South,Baccharis psiadioides,Baccharis,Asteraceae,Asterales
916,2334,Brazil South,Baccharis longiattenuata,Baccharis,Asteraceae,Asterales
917,2881,Brazil South,Baccharis caprariifolia,Baccharis,Asteraceae,Asterales
920,3008,Brazil South,Baccharis retusa,Baccharis,Asteraceae,Asterales
922,2332,Brazil South,Baccharis calvescens,Baccharis,Asteraceae,Asterales
925,2198,Brazil South,Baccharis singularis,Baccharis,Asteraceae,Asterales
926,3044,Brazil South,Baccharis oreophila,Baccharis,Asteraceae,Asterales
927,3074,Brazil South,Baccharis grandimucronata,Baccharis,Asteraceae,Asterales
928,2882,Brazil South,Baccharis intermixta,Baccharis,Asteraceae,Asterales
2626,2925,Brazil South,Critoniopsis quinqueflora,Critoniopsis,Asteraceae,Asterales
3025,3015,Brazil South,Dasyphyllum spinescens,Dasyphyllum,Asteraceae,Asterales
3026,2775,Brazil South,Dasyphyllum brasiliense,Dasyphyllum,Asteraceae,Asterales
5645,3157,Brazil South,Kaunia rufescens,Kaunia,Asteraceae,Asterales
5679,3142,Brazil South,Koanophyllon tinctorium,Koanophyllon,Asteraceae,Asterales
6846,3172,Brazil South,Moquiniastrum velutinum,Moquiniastrum,Asteraceae,Asterales
6847,3139,Brazil South,Moquiniastrum paniculatum,Moquiniastrum,Asteraceae,Asterales
6849,3069,Brazil South,Moquiniastrum sordidum,Moquiniastrum,Asteraceae,Asterales
6850,2871,Brazil South,Moquiniastrum polymorphum,Moquiniastrum,Asteraceae,Asterales
8224,2972,Brazil South,Piptocarpha densifolia,Piptocarpha,Asteraceae,Asterales
8226,2699,Brazil South,Piptocarpha axillaris,Piptocarpha,Asteraceae,Asterales
8227,3019,Brazil South,Piptocarpha angustifolia,Piptocarpha,Asteraceae,Asterales
8228,2900,Brazil South,Piptocarpha macropoda,Piptocarpha,Asteraceae,Asterales
8229,3037,Brazil South,Piptocarpha regnellii,Piptocarpha,Asteraceae,Asterales
8231,4135,Brazil South,Piptocarpha rotundifolia,Piptocarpha,Asteraceae,Asterales
10123,3179,Brazil South,Stifftia chrysantha,Stifftia,Asteraceae,Asterales
10254,3023,Brazil South,Symphyopappus lymansmithii,Symphyopappus,Asteraceae,Asterales
10255,2979,Brazil South,Symphyopappus itatiayensis,Symphyopappus,Asteraceae,Asterales
10872,2388,Brazil South,Trixis praestans,Trixis,Asteraceae,Asterales
10993,3024,Brazil South,Verbesina glabrata,Verbesina,Asteraceae,Asterales
10996,2709,Brazil South,Vernonanthura petiolaris,Vernonanthura,Asteraceae,Asterales
10997,2652,Brazil South,Vernonanthura divaricata,Vernonanthura,Asteraceae,Asterales
10998,2651,Brazil South,Vernonanthura discolor,Vernonanthura,Asteraceae,Asterales
10999,2280,Brazil South,Vernonanthura puberula,Vernonanthura,Asteraceae,Asterales
11001,2279,Brazil South,Vernonanthura beyrichii,Vernonanthura,Asteraceae,Asterales
1123,3027,Brazil South,Berberis laurina,Berberis,Berberidaceae,Ranunculales
2874,2490,Brazil South,Cybistax antisyphilitica,Cybistax,Bignoniaceae,Lamiales
4975,3016,Brazil South,Handroanthus chrysotrichus,Handroanthus,Bignoniaceae,Lamiales
4976,2953,Brazil South,Handroanthus albus,Handroanthus,Bignoniaceae,Lamiales
4978,2526,Brazil South,Handroanthus heptaphyllus,Handroanthus,Bignoniaceae,Lamiales
4979,3364,Brazil South,Handroanthus ochraceus,Handroanthus,Bignoniaceae,Lamiales
4981,2954,Brazil South,Handroanthus catarinensis,Handroanthus,Bignoniaceae,Lamiales
4983,2672,Brazil South,Handroanthus serratifolius,Handroanthus,Bignoniaceae,Lamiales
4986,2930,Brazil South,Handroanthus bureavii,Handroanthus,Bignoniaceae,Lamiales
4990,2362,Brazil South,Handroanthus umbellatus,Handroanthus,Bignoniaceae,Lamiales
4991,3171,Brazil South,Handroanthus vellosoi,Handroanthus,Bignoniaceae,Lamiales
4995,3170,Brazil South,Handroanthus pulcherrimus,Handroanthus,Bignoniaceae,Lamiales
5587,2225,Brazil South,Jacaranda puberula,Jacaranda,Bignoniaceae,Lamiales
5588,2535,Brazil South,Jacaranda micrantha,Jacaranda,Bignoniaceae,Lamiales
10347,3375,Brazil South,Tabebuia insignis,Tabebuia,Bignoniaceae,Lamiales
10348,2325,Brazil South,Tabebuia cassinoides,Tabebuia,Bignoniaceae,Lamiales
10351,3241,Brazil South,Tabebuia aurea,Tabebuia,Bignoniaceae,Lamiales
10354,3370,Brazil South,Tabebuia roseoalba,Tabebuia,Bignoniaceae,Lamiales
11412,4128,Brazil South,Zeyheria montana,Zeyheria,Bignoniaceae,Lamiales
11413,3211,Brazil South,Zeyheria tuberculosa,Zeyheria,Bignoniaceae,Lamiales
8660,2377,Brazil South,Protium kleinii,Protium,Burseraceae,Sapindales
8671,3285,Brazil South,Protium heptaphyllum,Protium,Burseraceae,Sapindales
1261,2393,Brazil South,Brasiliopuntia brasiliensis,Brasiliopuntia,Cactaceae,Caryophyllales
1886,2341,Brazil South,Cereus hildmannianus,Cereus,Cactaceae,Caryophyllales
1889,6001,Brazil South,Cereus uruguayanus,Cereus,Cactaceae,Caryophyllales
6841,3367,Brazil South,Monvillea euchlora,Monvillea,Cactaceae,Caryophyllales
7632,3416,Brazil South,Opuntia monacantha,Opuntia,Cactaceae,Caryophyllales
7950,3175,Brazil South,Pereskia grandifolia,Pereskia,Cactaceae,Caryophyllales
7953,3435,Brazil South,Pereskia nemorosa,Pereskia,Cactaceae,Caryophyllales
1511,2203,Brazil South,Calophyllum brasiliense,Calophyllum,Calophyllaceae,Malpighiales
5655,4121,Brazil South,Kielmeyera coriacea,Kielmeyera,Calophyllaceae,Malpighiales
2108,3152,Brazil South,Cinnamodendron axillare,Cinnamodendron,Canellaceae,Canellales
2109,2476,Brazil South,Cinnamodendron dinisii,Cinnamodendron,Canellaceae,Canellales
1836,3404,Brazil South,Celtis ehrenbergiana,Celtis,Cannabaceae,Rosales
1842,2886,Brazil South,Celtis brasiliensis,Celtis,Cannabaceae,Rosales
1850,3013,Brazil South,Celtis iguanaea,Celtis,Cannabaceae,Rosales
1854,3417,Brazil South,Celtis chichape,Celtis,Cannabaceae,Rosales
10722,2278,Brazil South,Trema micrantha,Trema,Cannabaceae,Rosales
1624,3295,Brazil South,Capparidastrum frondosum,Capparidastrum,Capparaceae,Brassicales
2902,2349,Brazil South,Cynophalla flexuosa,Cynophalla,Capparaceae,Brassicales
2136,2477,Brazil South,Citronella paniculata,Citronella,Cardiopteridaceae,Aquifoliales
2138,2945,Brazil South,Citronella gongonha,Citronella,Cardiopteridaceae,Aquifoliales
2142,2984,Brazil South,Citronella engleriana,Citronella,Cardiopteridaceae,Aquifoliales
5591,2536,Brazil South,Jacaratia spinosa,Jacaratia,Caricaceae,Brassicales
5593,3449,Brazil South,Jacaratia heptaphylla,Jacaratia,Caricaceae,Brassicales
10969,3120,Brazil South,Vasconcellea quercifolia,Vasconcellea,Caricaceae,Brassicales
1670,4131,Brazil South,Caryocar brasiliense,Caryocar,Caryocaraceae,Malpighiales
6428,2914,Brazil South,Maytenus dasyclada,Maytenus,Celastraceae,Celastrales
6434,2955,Brazil South,Maytenus glaucescens,Maytenus,Celastraceae,Celastrales
6436,3378,Brazil South,Maytenus cassineformis,Maytenus,Celastraceae,Celastrales
6440,3114,Brazil South,Maytenus ilicifolia,Maytenus,Celastraceae,Celastrales
6442,2796,Brazil South,Maytenus aquifolia,Maytenus,Celastraceae,Celastrales
6448,3054,Brazil South,Maytenus boaria,Maytenus,Celastraceae,Celastrales
6450,2854,Brazil South,Maytenus evonymoides,Maytenus,Celastraceae,Celastrales
6452,2679,Brazil South,Maytenus patens,Maytenus,Celastraceae,Celastrales
6460,2231,Brazil South,Maytenus littoralis,Maytenus,Celastraceae,Celastrales
6464,2400,Brazil South,Maytenus schumanniana,Maytenus,Celastraceae,Celastrales
6470,2797,Brazil South,Maytenus floribunda,Maytenus,Celastraceae,Celastrales
6472,2230,Brazil South,Maytenus gonoclada,Maytenus,Celastraceae,Celastrales
8310,3133,Brazil South,Plenckia populnea,Plenckia,Celastraceae,Celastrales
9418,3286,Brazil South,Salacia elliptica,Salacia,Celastraceae,Celastrales
9526,3393,Brazil South,Schaefferia argentinensis,Schaefferia,Celastraceae,Celastrales
54,3354,Brazil South,Acanthosyris spinescens,Acanthosyris,Cervantesiaceae,Santalales
5613,3408,Brazil South,Jodina rhombifolia,Jodina,Cervantesiaceae,Santalales
5029,2218,Brazil South,Hedyosmum brasiliense,Hedyosmum,Chloranthaceae,Chloranthales
2562,4132,Brazil South,Couepia grandiflora,Couepia,Chrysobalanaceae,Malpighiales
5168,2304,Brazil South,Hirtella hebeclada,Hirtella,Chrysobalanaceae,Malpighiales
5184,3345,Brazil South,Hirtella glandulosa,Hirtella,Chrysobalanaceae,Malpighiales
5928,2171,Brazil South,Licania gardneri,Licania,Chrysobalanaceae,Malpighiales
5930,3330,Brazil South,Licania octandra,Licania,Chrysobalanaceae,Malpighiales
7854,2596,Brazil South,Parinari excelsa,Parinari,Chrysobalanaceae,Malpighiales
2176,2478,Brazil South,Clethra scabra,Clethra,Clethraceae,Ericales
2183,3014,Brazil South,Clethra uleana,Clethra,Clethraceae,Ericales
2208,2205,Brazil South,Clusia criuva,Clusia,Clusiaceae,Malpighiales
4648,2167,Brazil South,Garcinia gardneriana,Garcinia,Clusiaceae,Malpighiales
10704,2905,Brazil South,Tovomita paniculata,Tovomita,Clusiaceae,Malpighiales
1328,2457,Brazil South,Buchenavia kleinii,Buchenavia,Combretaceae,Myrtales
2373,2414,Brazil South,Conocarpus erectus,Conocarpus,Combretaceae,Myrtales
5742,2398,Brazil South,Laguncularia racemosa,Laguncularia,Combretaceae,Myrtales
10491,3319,Brazil South,Terminalia glabrescens,Terminalia,Combretaceae,Myrtales
10531,3195,Brazil South,Terminalia triflora,Terminalia,Combretaceae,Myrtales
10539,3359,Brazil South,Terminalia reitzii,Terminalia,Combretaceae,Myrtales
10547,4146,Brazil South,Terminalia argentea,Terminalia,Combretaceae,Myrtales
10551,2275,Brazil South,Terminalia catappa,Terminalia,Combretaceae,Myrtales
10555,2903,Brazil South,Terminalia australis,Terminalia,Combretaceae,Myrtales
10571,3444,Brazil South,Terminalia uleana,Terminalia,Combretaceae,Myrtales
2369,2480,Brazil South,Connarus rostratus,Connarus,Connaraceae,Oxalidales
2435,3337,Brazil South,Cordia tarodae,Cordia,Cordiaceae,Boraginales
2443,2483,Brazil South,Cordia trichotoma,Cordia,Cordiaceae,Boraginales
2451,2768,Brazil South,Cordia ecalyculata,Cordia,Cordiaceae,Boraginales
2459,2482,Brazil South,Cordia silvestris,Cordia,Cordiaceae,Boraginales
2465,2663,Brazil South,Cordia magnoliifolia,Cordia,Cordiaceae,Boraginales
2467,2769,Brazil South,Cordia superba,Cordia,Cordiaceae,Boraginales
2501,3182,Brazil South,Cordia americana,Cordia,Cordiaceae,Boraginales
2509,2395,Brazil South,Cordia sellowiana,Cordia,Cordiaceae,Boraginales
5743,3059,Brazil South,Lamanonia cuneata,Lamanonia,Cunoniaceae,Oxalidales
5747,2674,Brazil South,Lamanonia ternata,Lamanonia,Cunoniaceae,Oxalidales
11162,2982,Brazil South,Weinmannia discolor,Weinmannia,Cunoniaceae,Oxalidales
11164,2329,Brazil South,Weinmannia paulliniifolia,Weinmannia,Cunoniaceae,Oxalidales
11166,3025,Brazil South,Weinmannia humilis,Weinmannia,Cunoniaceae,Oxalidales
11172,3042,Brazil South,Weinmannia pinnata,Weinmannia,Cunoniaceae,Oxalidales
2824,4117,Brazil South,Curatella americana,Curatella,Dilleniaceae,Dilleniales
3164,2350,Brazil South,Diospyros inconstans,Diospyros,Ebenaceae,Ericales
3185,3212,Brazil South,Diospyros hispida,Diospyros,Ebenaceae,Ericales
2620,3455,Brazil South,Crinodendron brasiliense,Crinodendron,Elaeocarpaceae,Oxalidales
9878,2627,Brazil South,Sloanea lasiocoma,Sloanea,Elaeocarpaceae,Oxalidales
9880,2431,Brazil South,Sloanea guianensis,Sloanea,Elaeocarpaceae,Oxalidales
9884,2626,Brazil South,Sloanea hirsuta,Sloanea,Elaeocarpaceae,Oxalidales
9889,2432,Brazil South,Sloanea hatschbachii,Sloanea,Elaeocarpaceae,Oxalidales
9900,3178,Brazil South,Sloanea garckeana,Sloanea,Elaeocarpaceae,Oxalidales
158,3026,Brazil South,Agarista niederleinii,Agarista,Ericaceae,Ericales
160,3141,Brazil South,Agarista minensis,Agarista,Ericaceae,Ericales
162,3056,Brazil South,Agarista oleifolia,Agarista,Ericaceae,Ericales
163,3249,Brazil South,Agarista eucalyptoides,Agarista,Ericaceae,Ericales
4675,2214,Brazil South,Gaylussacia brasiliensis,Gaylussacia,Ericaceae,Ericales
4676,3047,Brazil South,Gaylussacia pseudogaultheria,Gaylussacia,Ericaceae,Ericales
5048,2302,Brazil South,Heisteria silvianii,Heisteria,Erythropalaceae,Santalales
3631,3094,Brazil South,Erythroxylum cuneifolium,Erythroxylum,Erythroxylaceae,Malpighiales
3635,2353,Brazil South,Erythroxylum argentinum,Erythroxylum,Erythroxylaceae,Malpighiales
3639,3362,Brazil South,Erythroxylum buxus,Erythroxylum,Erythroxylaceae,Malpighiales
3655,3095,Brazil South,Erythroxylum myrsinites,Erythroxylum,Erythroxylaceae,Malpighiales
3679,2354,Brazil South,Erythroxylum deciduum,Erythroxylum,Erythroxylaceae,Malpighiales
3683,2210,Brazil South,Erythroxylum amplifolium,Erythroxylum,Erythroxylaceae,Malpighiales
3695,4141,Brazil South,Erythroxylum tortuosum,Erythroxylum,Erythroxylaceae,Malpighiales
3715,2497,Brazil South,Erythroxylum ambiguum,Erythroxylum,Erythroxylaceae,Malpighiales
3743,3154,Brazil South,Erythroxylum anguifugum,Erythroxylum,Erythroxylaceae,Malpighiales
3751,2498,Brazil South,Erythroxylum cuspidifolium,Erythroxylum,Erythroxylaceae,Malpighiales
3755,4119,Brazil South,Erythroxylum suberosum,Erythroxylum,Erythroxylaceae,Malpighiales
3783,2777,Brazil South,Erythroxylum pelleterianum,Erythroxylum,Erythroxylaceae,Malpighiales
3793,3066,Brazil South,Escallonia megapotamica,Escallonia,Escalloniaceae,Escalloniales
3796,3394,Brazil South,Escallonia petrophila,Escallonia,Escalloniaceae,Escalloniales
3797,2987,Brazil South,Escallonia bifida,Escallonia,Escalloniaceae,Escalloniales
3798,3155,Brazil South,Escallonia chlorophylla,Escallonia,Escalloniaceae,Escalloniales
45,3263,Brazil South,Acalypha villosa,Acalypha,Euphorbiaceae,Malpighiales
92,3245,Brazil South,Actinostemon schomburgkii,Actinostemon,Euphorbiaceae,Malpighiales
93,3214,Brazil South,Actinostemon klotzschii,Actinostemon,Euphorbiaceae,Malpighiales
94,2438,Brazil South,Actinostemon concolor,Actinostemon,Euphorbiaceae,Malpighiales
248,2150,Brazil South,Alchornea glandulosa,Alchornea,Euphorbiaceae,Malpighiales
250,2659,Brazil South,Alchornea sidifolia,Alchornea,Euphorbiaceae,Malpighiales
262,2192,Brazil South,Alchornea triplinervia,Alchornea,Euphorbiaceae,Malpighiales
605,2197,Brazil South,Aparisthmium cordatum,Aparisthmium,Euphorbiaceae,Malpighiales
1131,3010,Brazil South,Bernardia pulchella,Bernardia,Euphorbiaceae,Malpighiales
2638,3153,Brazil South,Croton vulnerarius,Croton,Euphorbiaceae,Malpighiales
2653,2159,Brazil South,Croton urucurana,Croton,Euphorbiaceae,Malpighiales
2656,3358,Brazil South,Croton confinis,Croton,Euphorbiaceae,Malpighiales
2707,2771,Brazil South,Croton floribundus,Croton,Euphorbiaceae,Malpighiales
2710,3349,Brazil South,Croton compressus,Croton,Euphorbiaceae,Malpighiales
2716,2485,Brazil South,Croton celtidifolius,Croton,Euphorbiaceae,Malpighiales
2725,2946,Brazil South,Croton salutaris,Croton,Euphorbiaceae,Malpighiales
2746,2486,Brazil South,Croton macrobothrys,Croton,Euphorbiaceae,Malpighiales
4910,3256,Brazil South,Gymnanthes edwalliana,Gymnanthes,Euphorbiaceae,Malpighiales
4917,2787,Brazil South,Gymnanthes klotzschiana,Gymnanthes,Euphorbiaceae,Malpighiales
4920,3204,Brazil South,Gymnanthes schottiana,Gymnanthes,Euphorbiaceae,Malpighiales
5610,3348,Brazil South,Jatropha curcas,Jatropha,Euphorbiaceae,Malpighiales
6159,3275,Brazil South,Mabea fistulifera,Mabea,Euphorbiaceae,Malpighiales
6296,2794,Brazil South,Manihot grahamii,Manihot,Euphorbiaceae,Malpighiales
6330,2546,Brazil South,Maprounea guianensis,Maprounea,Euphorbiaceae,Malpighiales
7628,2593,Brazil South,Ophthalmoblapton crassipes,Ophthalmoblapton,Euphorbiaceae,Malpighiales
7755,2692,Brazil South,Pachystroma longifolium,Pachystroma,Euphorbiaceae,Malpighiales
7889,2374,Brazil South,Pausandra morisiana,Pausandra,Euphorbiaceae,Malpighiales
8016,3101,Brazil South,Philyra brasiliensis,Philyra,Euphorbiaceae,Malpighiales
9469,3239,Brazil South,Sapium haematospermum,Sapium,Euphorbiaceae,Malpighiales
9470,2381,Brazil South,Sapium glandulosum,Sapium,Euphorbiaceae,Malpighiales
9655,2623,Brazil South,Sebastiania argutidens,Sebastiania,Euphorbiaceae,Malpighiales
9657,2821,Brazil South,Sebastiania brasiliensis,Sebastiania,Euphorbiaceae,Malpighiales
10125,3260,Brazil South,Stillingia oppositifolia,Stillingia,Euphorbiaceae,Malpighiales
10126,4145,Brazil South,Stillingia bodenbenderi,Stillingia,Euphorbiaceae,Malpighiales
10617,3258,Brazil South,Tetrorchidium dusenii,Tetrorchidium,Euphorbiaceae,Malpighiales
10618,2405,Brazil South,Tetrorchidium rubrivenium,Tetrorchidium,Euphorbiaceae,Malpighiales
3,2191,Brazil South,Abarema langsdorffii,Abarema,Fabaceae,Fabales
6,2190,Brazil South,Abarema brachystachya,Abarema,Fabaceae,Fabales
226,2743,Brazil South,Albizia polycephala,Albizia,Fabaceae,Fabales
228,6003,Brazil South,Albizia inundata,Albizia,Fabaceae,Fabales
234,2742,Brazil South,Albizia edwallii,Albizia,Fabaceae,Fabales
236,3246,Brazil South,Albizia niopoides,Albizia,Fabaceae,Fabales
238,3252,Brazil South,Albizia burkartiana,Albizia,Fabaceae,Fabales
428,2745,Brazil South,Anadenanthera peregrina,Anadenanthera,Fabaceae,Fabales
430,3321,Brazil South,Anadenanthera colubrina,Anadenanthera,Fabaceae,Fabales
450,2195,Brazil South,Andira fraxinifolia,Andira,Fabaceae,Fabales
452,3215,Brazil South,Andira inermis,Andira,Fabaceae,Fabales
453,2194,Brazil South,Andira anthelmia,Andira,Fabaceae,Fabales
455,3188,Brazil South,Andira ormosioides,Andira,Fabaceae,Fabales
632,2749,Brazil South,Apuleia leiocarpa,Apuleia,Fabaceae,Fabales
840,3150,Brazil South,Ateleia glazioveana,Ateleia,Fabaceae,Fabales
961,2451,Brazil South,Balizia pedicellaris,Balizia,Fabaceae,Fabales
999,3198,Brazil South,Bauhinia longifolia,Bauhinia,Fabaceae,Fabales
1001,3355,Brazil South,Bauhinia ungulata,Bauhinia,Fabaceae,Fabales
1007,4114,Brazil South,Bauhinia rufa,Bauhinia,Fabaceae,Fabales
