"","species","labels"
"2587","Diospyros bullata","VU"
"2590","Lecythis gracieana","LC"
"2592","Pouteria ambelaniifolia","LC"
"2593","Pouteria latianthera","EN"
"2594","Protium guianense","LC"
"2595","Tovomita spruceana","LC"
"2598","Abarema cochleata","LC"
"2602","Chrysophyllum sparsiflorum","LC"
"2605","Couratari longipedicellata","VU"
"2606","Crudia amazonica","LC"
"2607","Dimorphandra macrostachya","LC"
"2611","Gustavia elliptica","LC"
"2612","Heterostemon mimosoides","LC"
"2615","Manilkara cavalcantei","VU"
"2616","Mezilaurus duckei","EN"
"2618","Micrandra elata","LC"
"2623","Rhodostemonodaphne negrensis","NT"
"2624","Rhodostemonodaphne praeclara","LC"
"2625","Sloanea durissima","LC"
"2626","Spachea elegans","LC"
"2627","Swartzia ulei","LC"
"2629","Tovomita acutiflora","LC"
"2632","Abarema microcalyx","LC"
"2633","Apeiba glabra","LC"
"2636","Brownea grandiceps","LC"
"2638","Clusia nemorosa","LC"
"2639","Conchocarpus toxicarius","LC"
"2640","Duguetia marcgraviana","LC"
"2641","Duguetia sancticaroli","EN"
"2644","Guarea sprucei","CR"
"2646","Inga lomatophylla","LC"
"2650","Miconia eugenioides","LC"
"2652","Mouriri cauliflora","LC"
"2654","Nectandra globosa","LC"
"2655","Ocotea sprucei","VU"
"2657","Pouteria petiolata","VU"
"2661","Sloanea tuerckheimii","LC"
"2665","Talisia sylvatica","LC"
"2666","Tovomita carinata","LC"
"2667","Trichilia hispida","VU"
"2668","Vitex klugii","LC"
"2669","Acioa longipendula","LC"
"2671","Ambelania acida","LC"
"2672","Calycolpus goetheanus","LC"
"2673","Calyptranthes fasciculata","LC"
"2674","Clusia penduliflora","LC"
"2675","Coussapoa orthoneura","LC"
"2676","Cybianthus minutiflorus","LC"
"2679","Dimorphandra caudata","LC"
"2680","Eperua oleifera","LC"
"2682","Eugenia anastomosans","LC"
"2694","Picrolemma sprucei","LC"
"2700","Ambelania duckei","LC"
"2702","Botryarrhena pendula","LC"
"2704","Cupania hispida","LC"
"2706","Duguetia yeshidan","LC"
"2707","Ecclinusa bullata","LC"
"2708","Eschweilera amazonica","LC"
"2709","Eschweilera carinata","VU"
"2710","Guarea convergens","VU"
"2711","Guatteria ferruginea","LC"
"2713","Lacunaria oppositifolia","LC"
"2715","Mezilaurus decurrens","EN"
"2723","Swartzia panacoco","LC"
"2724","Touroulia guianensis","LC"
"2726","Anaxagorea prinoides","LC"
"2728","Cecropia purpurascens","LC"
"2729","Chrysobalanus icaco","LC"
"2730","Chrysophyllum pomiferum","LC"
"2734","Eschweilera ovata","LC"
"2735","Eschweilera subglandulosa","LC"
"2736","Eschweilera wachenheimii","LC"
"2740","Iryanthera dialyandra","VU"
"2741","Micrandropsis scleroxylon","LC"
"2743","Rinorea amapensis","LC"
"2744","Unonopsis duckei","LC"
"2748","Coussarea violacea","LC"
"2749","Ficus broadwayi","LC"
"2750","Graffenrieda rupestris","LC"
"2751","Guatteria duckeana","LC"
"2752","Micropholis retusa","EN"
"2753","Paypayrola longifolia","LC"
"2755","Simaba polyphylla","LC"
"2756","Swartzia brachyrachis","LC"
"2757","Swartzia longistipitata","LC"
"2759","Micropholis grandiflora","CR"
"2762","Vouacapoua americana","CR"
"2763","Aniba megaphylla","LC"
"2764","Byrsonima duckeana","LC"
"2766","Diplotropis triloba","LC"
"2770","Rinorea brevipes","LC"
"2775","Inga obtusata","LC"
"2776","Lacmellea aculeata","LC"
"2777","Licaria rodriguesii","LC"
"2778","Mollia speciosa","LC"
"2779","Ocotea cymbarum","LC"
"2781","Tabernaemontana disticha","LC"
"2784","Chamaecrista ensiformis","LC"
"2785","Clusia grandiflora","LC"
"2787","Couepia eriantha","VU"
"2790","Duguetia calycina","LC"
"2792","Erisma blancoa","LC"
"2793","Hirtella glandulosa","LC"
"2794","Licania densiflora","LC"
"2795","Ocotea fragrantissima","EN"
"2796","Pradosia subverticillata","VU"
"2798","Spiranthera parviflora","LC"
"2799","Aniba citrifolia","LC"
"2800","Licaria chrysophylla","LC"
"2801","Aspidosperma discolor","LC"
"2804","Lacmellea ramosissima","LC"
"2805","Leandra micropetala","LC"
"2806","Licania parvifructa","LC"
"2807","Mouriri subumbellata","LC"
"2808","Vantanea macrocarpa","LC"
"2809","Copaifera multijuga","LC"
"2810","Croton cajucara","LC"
"2811","Miconia traillii","LC"
"2812","Myrcia rufipila","LC"
"2813","Qualea paraensis","LC"
"2817","Annona tenuiflora","LC"
"2821","Connarus perrottetii","LC"
"2822","Couepia robusta","LC"
"2824","Cynometra spruceana","LC"
"2825","Duguetia stelechantha","LC"
"2826","Duguetia subcordata","EN"
"2828","Eperua duckeana","LC"
"2829","Eperua glabriflora","LC"
"2830","Eschweilera rhododendrifolia","VU"
"2834","Hirtella fasciculata","LC"
"2836","Ilex diospyroides","LC"
"2837","Inga alata","LC"
"2838","Inga brachystachys","LC"
"2839","Inga huberi","LC"
"2840","Inga obidensis","LC"
"2841","Lecythis prancei","EN"
"2842","Licania impressa","LC"
"2844","Lueheopsis burretiana","LC"
"2846","Micropholis caudata","CR"
"2847","Mouriri huberi","LC"
"2848","Myrcia subsessilis","LC"
"2850","Ocotea matogrossensis","LC"
"2851","Ocotea minor","LC"
"2852","Ocotea nigrescens","LC"
"2853","Ocotea percurrens","LC"
"2856","Pourouma velutina","LC"
"2857","Pouteria erythrochrysa","VU"
"2858","Pouteria exstaminodia","EN"
"2860","Pouteria pallens","CR"
"2861","Pouteria vernicosa","LC"
"2862","Pouteria virescens","LC"
"2863","Protium calendulinum","LC"
"2864","Protium giganteum","LC"
"2867","Rhodostemonodaphne peneia","LC"
"2873","Swartzia oblanceolata","LC"
"2874","Talisia marleneana","LC"
"2875","Talisia parviflora","VU"
"2879","Trichilia micropetala","VU"
"2883","Virola venosa","LC"
"2884","Aegiphila mollis","LC"
"2887","Cecropia ulei","LC"
"2889","Coussapoa sprucei","LC"
"2890","Cynometra bauhiniifolia","LC"
"2894","Licania majuscula","LC"
"2895","Licaria brasiliensis","LC"
"2897","Myrcia graciliflora","LC"
"2899","Phyllanthus attenuatus","LC"
"2900","Psidium densicomum","LC"
"2901","Quassia amara","LC"
"2902","Ruprechtia brachysepala","LC"
"2907","Annona densicoma","LC"
"2909","Bellucia spruceana","LC"
"2911","Cosmibuena grandiflora","LC"
"2913","Couratari multiflora","LC"
"2916","Dicymbe puncticulosa","EN"
"2917","Eschweilera apiculata","LC"
"2918","Eschweilera collina","LC"
"2920","Henriettea caudata","LC"
"2923","Iryanthera polyneura","LC"
"2924","Kerianthera preclara","EN"
"2925","Lecythis barnebyi","VU"
"2926","Lecythis poiteaui","LC"
"2928","Miconia manauara","LC"
"2929","Mouriri nervosa","LC"
"2930","Neoptychocarpus apodanthus","LC"
"2931","Ocotea canaliculata","LC"
"2932","Pourouma villosa","LC"
"2933","Pouteria durlandii","LC"
"2935","Qualea labouriauana","VU"
"2936","Quiina berryi","LC"
"2937","Retiniphyllum chloranthum","LC"
"2943","Bactris constanciae","LC"
"2946","Cestrum mariquitense","LC"
"2947","Chrysophyllum superbum","CR"
"2948","Corythophora alta","LC"
"2950","Duckesia verrucosa","LC"
"2951","Duguetia chrysea","NT"
"2953","Ferdinandusa goudotiana","LC"
"2954","Ficus catappifolia","LC"
"2956","Mezilaurus micrantha","EN"
"2957","Miconia hypoleuca","LC"
"2961","Parinari parvifolia","NT"
"2964","Pradosia decipiens","CR"
"2965","Ptychopetalum olacoides","LC"
"2967","Stryphnodendron racemiferum","LC"
"2968","Systemonodaphne geminiflora","LC"
"2969","Tabernaemontana cumata","EN"
"2973","Thyrsodium spruceanum","LC"
"2979","Aniba ferrea","EN"
"2980","Bagassa guianensis","LC"
"2981","Chrysophyllum wilsonii","EN"
"2982","Corythophora rimosa","LC"
"2984","Dacryodes hopkinsii","LC"
"2986","Diplotropis rodriguesii","VU"
"2987","Duguetia asterotricha","LC"
"2988","Erisma bracteosum","LC"
"2990","Guarea humaitensis","VU"
"2991","Guatteria trichocarpa","LC"
"2994","Licaria martiniana","LC"
"2996","Ocotea immersa","VU"
"2997","Ocotea subterminalis","LC"
"2998","Pouteria freitasii","VU"
"2999","Pouteria maxima","VU"
"3000","Pouteria peruviensis","VU"
"3003","Rinorea neglecta","LC"
"3006","Talisia mollis","LC"
"3007","Vantanea micrantha","VU"
"3008","Vismia cauliflora","LC"
"3009","Aiouea tomentella","LC"
"3011","Ficus matiziana","LC"
"3012","Henriettea granulata","LC"
"3017","Myrcia citrifolia","LC"
"3018","Ouratea pendulosepala","LC"
"3019","Oxandra krukoffii","LC"
"3020","Paraia bracteata","LC"
"3022","Pseudoxandra obscurinervis","LC"
"3023","Swartzia manausensis","LC"
"3025","Tapura lanceolata","LC"
"3027","Zygia trunciflora","LC"
"3029","Aniba terminalis","LC"
"3040","Pouteria tarumanensis","EN"
"3042","Siparuna cymosa","LC"
"3044","Unonopsis rufescens","LC"
"3048","Hortia superba","VU"
"3049","Malmea manausensis","LC"
"3052","Mouriri duckeana","LC"
"3055","Ryania spruceana","LC"
"3059","Cymbopetalum euneurum","EN"
"3063","Eschweilera rankiniae","EN"
"3066","Geissospermum sericeum","LC"
"3067","Hebepetalum roraimense","LC"
"3070","Hymenolobium petraeum","LC"
"3073","Ocotea sandwithii","VU"
"3077","Remijia asperula","VU"
"3083","Carapa procera","LC"
"3084","Clusia panapanari","LC"
"3086","Eugenia wentii","LC"
"3089","Lacistema polystachyum","LC"
"3092","Coccoloba declinata","LC"
"3093","Dimorphandra parviflora","LC"
"3095","Guatteria friesiana","LC"
"3098","Mouriri brachyanthera","LC"
"3099","Mouriri duckeanoides","LC"
"3100","Phyllanthus madeirensis","LC"
"3101","Stachyarrhena penduliflora","LC"
"3105","Macrosamanea spruceana","LC"
"3110","Tovomita longifolia","LC"
"3111","Acmanthera longifolia","CR"
"3112","Bauhinia grandifolia","LC"
"3113","Bellucia nigricans","VU"
"3114","Casearia manausensis","LC"
"3115","Chimarrhis turbinata","LC"
"3117","Erisma fuscum","EN"
"3121","Inga glomeriflora","LC"
"3123","Mouriri trunciflora","LC"
"3127","Onychopetalum amazonicum","LC"
"3128","Pera pulchrifolia","CR"
"3131","Pterandra arborea","LC"
"3133","Stachyarrhena spicata","LC"
"3135","Vantanea paraensis","LC"
"3137","Alchornea latifolia","LC"
"3138","Bellucia egensis","LC"
"3139","Duroia genipoides","LC"
"3141","Ficus obtusiuscula","LC"
"3142","Guatteria procera","VU"
"3149","Aniba permollis","EN"
"3152","Cecropia palmata","LC"
"3158","Diospyros tarim","EN"
"3162","Elizabetha bicolor","LC"
"3171","Ophiocaryon heterophyllum","LC"
"3176","Pradosia lahoziana","CR"
"3179","Adelia triloba","LC"
"3182","Cordia collococca","LC"
"3183","Ilex petiolaris","LC"
"3184","Ocotea fasciculata","LC"
"3185","Xylopia ligustrifolia","LC"
"3186","Acmanthera parviflora","EN"
"3188","Annona symphyocarpa","LC"
"3189","Cupania hirsuta","LC"
"3190","Cybianthus gardneri","LC"
"3191","Euceraea nitida","LC"
"3192","Guatteria liesneri","LC"
"3193","Henriettea maroniensis","LC"
"3195","Licania discolor","LC"
"3198","Matayba camptoneura","LC"
"3199","Miconia dodecandra","LC"
"3202","Pachira trinitensis","LC"
"3203","Piptocoma schomburgkii","LC"
"3204","Remijia densiflora","LC"
"3205","Tabernaemontana flavicans","LC"
"3206","Vitex capitata","LC"
"3208","Aiouea grandifolia","LC"
"3209","Anaxagorea petiolata","LC"
"3212","Catostemma commune","LC"
"3213","Chromolucuma baehniana","LC"
"3218","Guapira neblinensis","EN"
"3231","Warszewiczia elata","LC"
"3232","Anaxagorea gigantophylla","NT"
"3234","Blepharocalyx eggersii","LC"
"3238","Hieronyma oblonga","LC"
"3240","Persea fastigiata","LC"
"3244","Vatairea erythrocarpa","LC"
"3249","Duguetia pycnastera","LC"
"3254","Archytaea triflora","LC"
"3256","Clusia pusilla","LC"
"3257","Cybianthus lepidotus","LC"
"3258","Duguetia rigida","LC"
"3260","Emmotum glabrum","LC"
"3263","Gleasonia prancei","LC"
"3265","Laplacea fruticosa","LC"
"3266","Licania incana","LC"
"3267","Macairea pachyphylla","LC"
"3269","Myrcia albidotomentosa","LC"
"3270","Myrcia platyclada","LC"
"3271","Nectandra reticulata","LC"
"3282","Burdachia prismatocarpa","LC"
"3284","Calycolpus calophyllus","LC"
"3285","Campsiandra comosa","LC"
"3286","Caryocar microcarpum","LC"
"3287","Dicorynia paraensis","LC"
"3288","Diospyros poeppigiana","LC"
"3290","Duguetia uniflora","LC"
"3291","Erisma calcaratum","LC"
"3293","Eugenia roseiflora","LC"
"3298","Humiriastrum villosum","LC"
"3300","Ilex casiquiarensis","LC"
"3301","Inga ulei","LC"
"3303","Macrosamanea amplissima","LC"
"3308","Moronobea riparia","LC"
"3312","Parahancornia negroensis","LC"
"3313","Parinari sprucei","LC"
"3314","Parkia discolor","LC"
"3315","Pouteria gomphiifolia","LC"
"3316","Pouteria pachyphylla","VU"
"3317","Pseudoxandra leiophylla","LC"
"3318","Quiina longifolia","LC"
"3319","Ruizterania wittrockii","LC"
"3320","Staminodianthus rosae","VU"
"3322","Swartzia argentea","LC"
"3323","Swartzia krukovii","EN"
"3324","Swartzia sericea","LC"
"3325","Tabernaemontana rupicola","LC"
"3331","Xylopia spruceana","LC"
"3334","Burdachia sphaerocarpa","LC"
"3335","Byrsonima eugeniifolia","LC"
"3336","Duroia velutina","LC"
"3338","Eugenia gomesiana","LC"
"3339","Ferdinandusa rudgeoides","LC"
"3340","Gustavia pulchra","LC"
"3341","Henriquezia nitida","LC"
"3342","Himatanthus attenuatus","LC"
"3344","Licania parvifolia","LC"
"3346","Miconia truncata","LC"
"3349","Rauvolfia polyphylla","LC"
"3351","Swartzia conferta","LC"
"3352","Tachigali cavipes","LC"
"3354","Tococa subciliata","LC"
"3355","Anaxagorea angustifolia","LC"
"3359","Dimorphandra cuprea","LC"
"3362","Endlicheria macrophylla","LC"
"3364","Guatteria heteropetala","LC"
"3365","Guatteria subsessilis","LC"
"3368","Hevea nitida","LC"
"3369","Hydrochorea gonggrijpii","LC"
"3370","Inga plumifera","LC"
"3371","Jacqueshuberia purpurea","LC"
"3373","Limadendron hostmannii","LC"
"3378","Macrosamanea discolor","LC"
"3384","Pouteria lucens","VU"
"3391","Tachigali physophora","LC"
"3393","Talisia firma","LC"
"3398","Chamaecrista negrensis","LC"
"3401","Diospyros egleri","LC"
"3412","Ormosia excelsa","LC"
"3413","Oxandra leucodermis","LC"
"3417","Swartzia angustifoliola","EN"
"3419","Tovomita macrophylla","LC"
"3420","Annona atabapensis","LC"
"3421","Burdachia duckei","LC"
"3427","Swartzia laurifolia","LC"
"3429","Byrsonima punctulata","LC"
"3430","Chamaecrista adiantifolia","LC"
"3433","Macrolobium huberianum","LC"
"3434","Mouriri guianensis","LC"
"3435","Parinari campestris","LC"
"3438","Blastemanthus grandiflorus","LC"
"3442","Humiria wurdackii","LC"
"3444","Maprounea amazonica","LC"
"3445","Peltogyne excelsa","VU"
"3449","Diospyros glomerata","LC"
"3452","Inga neblinensis","VU"
"3456","Theobroma bicolor","LC"
"3461","Swartzia recurva","LC"
"3463","Crudia oblonga","LC"
"3471","Bonyunia aquatica","LC"
"3475","Erythroxylum kapplerianum","LC"
"3476","Exellodendron coriaceum","LC"
"3478","Anacardium microsepalum","LC"
"3479","Macrosamanea duckei","LC"
"3483","Duguetia argentea","LC"
"3484","Lophanthera spruceana","LC"
"3489","Caraipa richardiana","LC"
"3490","Lophanthera pendula","EN"
"3497","Machaerium isadelphum","LC"
"3499","Tabebuia fluviatilis","LC"
"3503","Tachigali goeldiana","LC"
"3509","Erythroxylum divaricatum","LC"
"3518","Vitex cymosa","LC"
"3520","Caraipa rodriguesii","VU"
"3526","Dimorphandra urubuensis","LC"
"3532","Molongum zschokkeiforme","LC"
"3533","Roupala obtusata","LC"
"3537","Cynometra duckei","LC"
"3538","Cynometra marginata","LC"
"3539","Duguetia longicuspis","LC"
"3541","Eperua schomburgkiana","LC"
"3542","Guatteria dura","LC"
"3547","Zygia ampla","LC"
"3548","Acmanthera latifolia","VU"
"3552","Crescentia amazonica","LC"
"3553","Duroia fusifera","LC"
"3554","Ecclinusa lancifolia","VU"
"3555","Licaria pachycarpa","LC"
"3557","Croton sacaquinha","LC"
"3558","Byrsonima densa","LC"
"3560","Spongiosperma longilobum","EN"
"3563","Elaeoluma schomburgkiana","LC"
"3567","Endlicheria multiflora","LC"
"3568","Mora paraensis","NT"
"3569","Remijia glomerata","LC"
"3573","Malouetia gracillima","EN"
"3574","Mollia nitida","VU"
"3579","Pagamea plicata","LC"
"3580","Ruprechtia tenuiflora","LC"
"3586","Ormosia coutinhoi","LC"
"3587","Abarema leucophylla","LC"
"3589","Aldina heterophylla","VU"
"3592","Caraipa savannarum","LC"
"3593","Catostemma sclerophyllum","LC"
"3595","Chamaecrista bahiae","LC"
"3598","Clusia obovata","LC"
"3601","Cyrilla racemiflora","LC"
"3603","Dicymbe arenicola","EN"
"3608","Himatanthus obovatus","LC"
"3611","Hortia longifolia","LC"
"3612","Hylocarpa heterocarpa","LC"
"3614","Licania mollis","LC"
"3616","Lueheopsis althaeiflora","LC"
"3622","Monopteryx angustifolia","LC"
"3623","Myrcia clusiifolia","LC"
"3625","Ocotea rhodophylla","LC"
"3626","Pachira faroensis","NT"
"3628","Parkia igneiflora","LC"
"3629","Peltogyne campestris","LC"
"3630","Pradosia schomburgkiana","LC"
"3634","Richeria dressleri","LC"
"3636","Ryania pyrifera","LC"
"3639","Tovomita grata","LC"
"3644","Casearia sylvestris","LC"
"3645","Clusia renggerioides","LC"
"3649","Hirtella paniculata","LC"
"3650","Ilex retusa","LC"
"3651","Isertia parviflora","LC"
"3658","Maytenus guyanensis","LC"
"3660","Miconia aplostachya","LC"
"3663","Ocotea debilis","LC"
"3664","Ormosia macrophylla","LC"
"3665","Parahancornia surrogata","LC"
"3672","Vitex calothyrsa","LC"
"3675","Guatteria maypurensis","LC"
"3676","Humiria crassifolia","LC"
"3677","Lacmellea microcarpa","LC"
"3678","Macairea theresiae","LC"
"3681","Ocotea esmeraldana","LC"
"3688","Zygia claviflora","LC"
"3689","Duguetia rionegrensis","NT"
"3694","Pagamea sessiliflora","LC"
"3696","Psidium guineense","LC"
"3703","Dimorphandra campinarum","LC"
"3707","Hevea rigidifolia","LC"
"3711","Peltogyne catingae","LC"
"3718","Bonnetia sessilis","LC"
"3719","Byrsonima concinna","LC"
"3720","Catostemma cavalcantei","LC"
"3723","Cybianthus reticulatus","LC"
"3724","Dimorphandra vernicosa","LC"
"3725","Endlicheria arenosa","LC"
"3727","Guatteria maguirei","VU"
"3728","Hevea camporum","LC"
"3734","Xylopia barbata","LC"
"3738","Hymenolobium grazielanum","LC"
"3742","Ternstroemia urophora","LC"
"3744","Abarema campestris","LC"
"3746","Anaxagorea macrantha","VU"
"3749","Capparidastrum frondosum","LC"
"3750","Clusia fockeana","LC"
"3751","Duguetia ulei","NT"
"3752","Elizabetha coccinea","LC"
"3753","Guianodendron praeclarum","LC"
"3755","Inga panurensis","LC"
"3757","Lorostemon coelhoi","EN"
"3758","Macrolobium longipedicellatum","LC"
"3760","Ptychopetalum uncinatum","LC"
"3770","Miconia stenostachya","LC"
"3772","Bejaria sprucei","LC"
"3774","Platycarpum egleri","LC"
"3775","Platycarpum froesii","LC"
"3777","Clusia viscida","LC"
"3780","Iryanthera obovata","VU"
"3782","Panurea longifolia","LC"
"3789","Chamaecrista apoucouita","LC"
"3791","Vochysia maxima","LC"
"3792","Vochysia expansa","VU"
"3793","Guatteria hispida","EN"
"3796","Virola parvifolia","VU"
"3797","Chaetocarpus echinocarpus","LC"
"3799","Duguetia venezuelana","EN"
"3801","Albizia glabripetala","LC"
"3805","Garcinia albuquerquei","EN"
"3806","Pera coccinea","LC"
"3807","Inga lopadadenia","LC"
"3809","Macrolobium duckeanum","LC"
"3810","Myrcia cuprea","LC"
"3814","Ouratea roraimae","LC"
"3820","Talisia ghilleana","EN"
"3822","Aniba santalodora","VU"
"3831","Carpotroche crispidentata","LC"
"3834","Duguetia manausensis","LC"
"3837","Macrolobium brevense","LC"
"3839","Potalia coronata","LC"
"3840","Bejaria aestuans","LC"
"3843","Caraipa tereticaulis","LC"
"3844","Clusia cerroana","LC"
"3845","Clusia crassifolia","LC"
"3848","Clusia huberi","LC"
"3850","Cybianthus quelchii","LC"
"3854","Gongylolepis pedunculata","VU"
"3855","Hedyosmum racemosum","LC"
"3857","Miconia acutifolia","LC"
"3858","Myrcia revolutifolia","LC"
"3862","Persea jenmanii","VU"
"3863","Podocarpus acuminatus","NT"
"3864","Podocarpus aracensis","LC"
"3871","Siphoneugena dussii","LC"
"3878","Weinmannia fagaroides","LC"
"3879","Weinmannia pinnata","LC"
"3882","Coussapoa crassivenosa","LC"
"3885","Endlicheria canescens","LC"
"3889","Miconia mirabilis","LC"
"3890","Miconia tillettii","LC"
"3892","Ocotea subrutilans","LC"
"3895","Persea areolatocostae","LC"
"3896","Persea grandiflora","LC"
"3897","Piptocoma discolor","LC"
"3898","Pouteria scrobiculata","LC"
"3902","Bauhinia ungulata","LC"
"3903","Bursera simaruba","LC"
"3904","Clusia minor","LC"
"3905","Cochlospermum vitifolium","LC"
"3908","Erythroxylum impressum","LC"
"3910","Graffenrieda caryophyllea","LC"
"3912","Miconia rubiginosa","LC"
"3913","Myrcia tomentosa","LC"
"3914","Pachira minor","LC"
"3917","Pouteria rigida","LC"
"3918","Quiina obovata","LC"
"3920","Rudgea hostmanniana","LC"
"3921","Senegalia riparia","LC"
"3923","Symplocos nitens","LC"
"3925","Vachellia farnesiana","LC"
"3928","Calliandra laxa","LC"
"3933","Ficus malacocarpa","LC"
"3935","Helicteres pentandra","LC"
"3936","Inga bullatorugosa","VU"
"3937","Mabea taquari","LC"
"3940","Miconia brevipes","LC"
"3942","Myrcia saxatilis","LC"
"3944","Pradosia surinamensis","LC"
"3946","Senna georgica","LC"
"3949","Miconia stephananthera","LC"
"3950","Adenocalymma cladotrichum","LC"
"3951","Faramea crassifolia","LC"
"3953","Annona gigantophylla","VU"
"3954","Bonyunia antoniifolia","LC"
"3957","Graffenrieda weddellii","LC"
"3958","Macrolobium colombianum","LC"
"3959","Poecilandra retusa","LC"
"3960","Blepharandra hypoleuca","LC"
"3962","Neotatea neblinae","NT"
"3968","Vaccinium puberulum","LC"
"3969","Antonia ovata","LC"
"3972","Digomphia laurifolia","LC"
"3973","Gongylolepis huachamacari","LC"
"3975","Meriania aracaensis","LC"
"3976","Myrcia intonsa","VU"
"3977","Ocotea wurdackiana","LC"
"3981","Ternstroemia aracae","LC"
"3983","Aspidosperma neblinae","VU"
"3987","Clusia annularis","LC"
"3990","Gongylolepis paniculata","LC"
"3991","Gongylolepis paruana","CR"
"3992","Graffenrieda reticulata","LC"
"3994","Ilex neblinensis","VU"
"4001","Podocarpus roraimae","LC"
"4008","Couratari tauari","VU"
"4009","Diospyros longistyla","VU"
"4012","Myrcia salicifolia","LC"
"4013","Pouteria sagotiana","LC"
"4016","Byrsonima rodriguesii","EN"
"4023","Coussapoa parvifolia","LC"
"4024","Dicypellium manausense","CR"
"4025","Endlicheria coriacea","EN"
"4027","Faramea spathacea","LC"
"4028","Guarea crispa","EN"
"4030","Licania membranacea","LC"
"4032","Licaria subbullata","LC"
"4035","Miconia aliquantula","LC"
"4036","Miconia eriodonta","LC"
"4037","Micropholis submarginalis","EN"
"4038","Mouriri dimorphandra","LC"
"4044","Pera manausensis","EN"
"4047","Pouteria fulva","EN"
"4049","Pouteria pubescens","VU"
"4050","Pouteria resinosa","EN"
"4055","Siparuna pachyantha","LC"
"4057","Vantanea deniseae","LC"
"4058","Catostemma albuquerquei","EN"
"4059","Catostemma milanezii","LC"
"4060","Dussia discolor","LC"
"4063","Pouteria egregia","LC"
"4064","Aiouea impressa","EN"
"4068","Eschweilera sagotiana","LC"
"4070","Licaria aureosericea","EN"
"4077","Dulacia inopiflora","LC"
"4081","Joannesia heveoides","LC"
"4082","Vochysia assua","VU"
"4083","Couratari atrovinosa","EN"
"4084","Guatteria cryandra","LC"
"4087","Mouriri oligantha","LC"
"4088","Nectandra canescens","LC"
"4090","Quiina pteridophylla","LC"
"4096","Inga microcalyx","VU"
"4097","Mouriri sagotiana","LC"
"4098","Stryphnodendron occhionianum","LC"
"4104","Hirtella conduplicata","CR"
"4105","Inga suberosa","EN"
"4109","Myrcia madida","LC"
"4110","Paramachaerium schomburgkii","LC"
"4111","Pseudoxandra cauliflora","VU"
"4112","Roupala nonscripta","EN"
"4113","Sarcaulus inflexus","VU"
"4117","Abarema curvicarpa","LC"
"4119","Byrsonima souzae","EN"
"4120","Chrysophyllum durifructum","CR"
"4121","Licaria dolichantha","EN"
"4123","Aniba muca","LC"
"4124","Eugenia caducibracteata","LC"
"4125","Hirtella sprucei","LC"
"4133","Roupala psilocarpa","NT"
"4135","Vochysia rufescens","VU"
"4138","Copaifera glycycarpa","LC"
"4139","Cymbopetalum alkekengi","VU"
"4140","Eugenia pallidopunctata","LC"
"4141","Euxylophora paraensis","EN"
"4142","Myrcia poeppigiana","EN"
"4145","Euplassa madeirae","EN"
"4146","Licaria oppositifolia","VU"
"4147","Chromolucuma congestifolia","LC"
"4148","Chrysophyllum colombianum","LC"
"4150","Duguetia eximia","LC"
"4151","Duguetia pauciflora","LC"
"4154","Ficus pakkensis","VU"
"4155","Ficus roraimensis","EN"
"4156","Guatteria pastazae","LC"
"4157","Inga poeppigiana","LC"
"4163","Micropholis brochidodroma","VU"
"4164","Myrcia amapensis","LC"
"4165","Myrcia pentagona","LC"
"4168","Rhodostemonodaphne scandens","LC"
"4169","Rhodostemonodaphne sordida","VU"
"4177","Talisia granulosa","CR"
"4180","Trichilia bullata","VU"
"4181","Simira paraensis","VU"
"4184","Byrsonima piresii","LC"
"4185","Didymocistus chrysadenius","LC"
"4190","Cassia swartzioides","LC"
"4194","Rinorea bicornuta","EN"
"4195","Vasivaea alchorneoides","LC"
"4199","Vismia laxiflora","LC"
"4201","Rhodostemonodaphne juruensis","LC"
"4202","Virola marleneae","LC"
"4204","Swartzia lucida","LC"
"4207","Faramea parvibractea","LC"
"4216","Cryptocarya guianensis","LC"
"4219","Goniodiscus elaeospermus","NT"
"4222","Picramnia magnifolia","LC"
"4225","Ocotea tomentella","LC"
"4227","Cupania vernalis","LC"
"4229","Cremastosperma megalophyllum","LC"
"4233","Bauhinia aureopunctata","NT"
"4234","Diospyros santaremnensis","LC"
"4235","Faramea candelabrum","LC"
"4236","Triplaris physocalyx","EN"
"4241","Wettinia drudei","LC"
"4244","Oxandra macrophylla","EN"
"4247","Perebea mennegae","LC"
"4248","Tetrameranthus umbellatus","VU"
"4250","Cremastosperma microcarpum","LC"
"4251","Cybianthus schlimii","LC"
"4252","Guatteria stipitata","LC"
"4255","Pleurothyrium insigne","LC"
"4263","Guatteria rigida","LC"
"4264","Terminalia lucida","LC"
"4268","Inga exilis","VU"
"4276","Duguetia stenantha","LC"
"4277","Endlicheria rubriflora","LC"
"4284","Terminalia dichotoma","LC"
"4296","Tococa caudata","LC"
"4297","Machaerium lunatum","LC"
"4298","Macrolobium pendulum","LC"
"4303","Psidium striatulum","LC"
"4304","Theobroma glaucum","LC"
"4309","Ormosia amazonica","LC"
"4310","Sacoglottis amazonica","LC"
"4312","Guatteria flabellata","LC"
"4316","Rudgea obesiflora","VU"
"4320","Ouratea chrysopetala","EN"
"4322","Inga pruriens","LC"
"4323","Acmanthera cowanii","VU"
"4325","Diospyros kondor","LC"
"4328","Myrcia gigas","LC"
"4329","Anaxagorea manausensis","LC"
"4331","Amanoa gracillima","LC"
"4334","Nectandra egensis","VU"
