"","species","labels"
"179","Bauhinia wunderlinii","LC"
"180","Beilschmiedia berteroana","LC"
"181","Beilschmiedia miersii","LC"
"182","Beilschmiedia riparia","LC"
"183","Berberis laurina","LC"
"184","Berberis microphylla","LC"
"185","Bernardia dodecandra","LC"
"186","Bernardia mollis","EN"
"187","Bernardia nicaraguensis","LC"
"188","Bernardia pulchella","LC"
"189","Berrya cubensis","LC"
"190","Bixa excelsa","LC"
"191","Blakea laevigata","LC"
"192","Blakea purpusii","EN"
"193","Blechnum schomburgkii","LC"
"194","Blepharocalyx salicifolius","LC"
"195","Bonellia albiflora","LC"
"196","Bonellia longifolia","LC"
"197","Bougainvillea campanulata","LC"
"198","Bougainvillea malmeana","EN"
"199","Bougainvillea praecox","LC"
"200","Bourreria mollis","LC"
"201","Bourreria purpusii","EN"
"202","Brachynema ramiflorum","LC"
"203","Brasilettia mollis","LC"
"204","Brasilettia platyloba","LC"
"205","Brasilettia violacea","LC"
"206","Bravaisia grandiflora","LC"
"207","Bredemeyera divaricata","LC"
"208","Bredemeyera lucida","LC"
"209","Brosimum alicastrum","LC"
"210","Brosimum gaudichaudii","LC"
"211","Brosimum potabile","LC"
"212","Brosimum rubescens","LC"
"213","Buchenavia grandis","LC"
"214","Buchenavia kleinii","LC"
"215","Buchenavia macrophylla","LC"
"216","Buchenavia oxycarpa","LC"
"217","Buchenavia reticulata","LC"
"218","Buchenavia tetraphylla","LC"
"219","Buchenavia tomentosa","LC"
"220","Buchenavia viridiflora","LC"
"221","Buddleja crotonoides","LC"
"222","Buddleja globosa","LC"
"223","Buddleja skutchii","LC"
"224","Buddleja stachyoides","LC"
"225","Bulnesia sarmientoi","LC"
"226","Bunchosia breedlovei","EN"
"227","Bunchosia canescens","EN"
"228","Bunchosia maritima","LC"
"229","Bunchosia paraguariensis","LC"
"230","Bursera diversifolia","LC"
"231","Bursera schlechtendalii","LC"
"232","Butia capitata","LC"
"233","Butia catarinensis","LC"
"234","Butia missionera","CR"
"235","Butia odorata","LC"
"236","Butia paraguayensis","LC"
"237","Butia witeckii","EN"
"238","Butia yatay","LC"
"239","Byrsonima chrysophylla","LC"
"240","Byrsonima intermedia","LC"
"241","Byrsonima krukoffii","LC"
"242","Byrsonima linguifera","LC"
"243","Byrsonima melanocarpa","LC"
"244","Byrsonima niedenzuiana","LC"
"245","Byrsonima riparia","LC"
"246","Cabralea polytricha","LC"
"247","Caesalpinia cacalaco","LC"
"248","Caesalpinia exostemma","LC"
"249","Caesalpinia gilliesii","LC"
"250","Caesalpinia spinosa","LC"
"251","Caesalpinia vesicaria","LC"
"252","Caesalpinia yucatanensis","LC"
"253","Caldcluvia paniculata","LC"
"254","Calliandra belizensis","LC"
"255","Calliandra brevipes","LC"
"256","Calliandra foliolosa","LC"
"257","Calliandra harrisii","LC"
"258","Calliandra tweedii","LC"
"259","Callianthe amoena","LC"
"260","Callianthe bedfordiana","LC"
"261","Callianthe fluviatilis","LC"
"262","Callisthene hassleri","LC"
"263","Callisthene inundata","VU"
"264","Calycophyllum multiflorum","LC"
"265","Calycophyllum spruceanum","LC"
"266","Calyptranthes amoena","LC"
"267","Calyptranthes brasiliensis","LC"
"268","Calyptranthes chiapensis","LC"
"269","Calyptranthes chytraculia","LC"
"270","Calyptranthes clusiifolia","LC"
"271","Calyptranthes concinna","LC"
"272","Calyptranthes crebra","LC"
"273","Calyptranthes cuspidata","LC"
"274","Calyptranthes densiflora","LC"
"275","Calyptranthes grammica","LC"
"276","Calyptranthes hatschbachii","EN"
"277","Calyptranthes karlingii","LC"
